date,kind,value,source
2001-06-27,dividend,0.017608,yahoo
2001-08-30,dividend,0.170213,yahoo
2002-06-25,dividend,0.43,yahoo
2003-01-02,dividend,0.27,yahoo
2003-06-09,dividend,0.4,yahoo
2003-11-28,dividend,0.3,yahoo
2004-05-21,dividend,0.43,yahoo
2004-12-06,dividend,0.55,yahoo
2005-06-01,dividend,0.93,yahoo
2005-12-14,dividend,0.48,yahoo
2006-06-05,dividend,0.94,yahoo
2006-12-11,dividend,0.55,yahoo
2007-06-11,dividend,1.03,yahoo
2007-12-13,dividend,0.6,yahoo
2008-06-17,dividend,1.14,yahoo
2008-12-16,dividend,0.8,yahoo
2009-06-02,dividend,1.4,yahoo
2009-12-16,dividend,0.65,yahoo
2010-06-16,dividend,0.99,yahoo
2010-12-15,dividend,0.58,yahoo
2011-05-16,dividend,0.96,yahoo
2012-06-08,dividend,0.72,yahoo
2013-06-28,dividend,0.57,yahoo
2014-05-27,dividend,0.25,yahoo
2015-01-12,dividend,0.23,yahoo
2015-04-22,dividend,0.5,yahoo
2015-09-11,dividend,0.17,yahoo
2016-05-04,dividend,0.23,yahoo
2016-06-23,dividend,0.57,yahoo
2016-10-13,dividend,0.12,yahoo
2017-05-02,dividend,0.6,yahoo
2017-09-27,dividend,0.1,yahoo
2017-12-11,dividend,0.7,yahoo
2018-05-07,dividend,0.3,yahoo
2018-10-12,dividend,0.105,yahoo
2019-06-26,dividend,0.6,yahoo
2020-01-16,dividend,1.0,yahoo
2020-07-21,dividend,0.3,yahoo
2021-07-13,dividend,0.55,yahoo
2021-10-20,dividend,0.1,yahoo
2022-07-18,dividend,0.5,yahoo
2022-07-29,dividend,0.9,yahoo
2022-10-19,dividend,0.3,yahoo
2023-06-06,dividend,0.7,yahoo
2023-06-19,dividend,0.45,yahoo
2023-11-02,dividend,1.001771,yahoo
2024-04-29,dividend,0.610526,yahoo
2024-06-25,dividend,0.25,yahoo
2024-11-04,dividend,0.602853,yahoo
2025-05-07,dividend,0.8,yahoo
2025-11-03,dividend,0.5,yahoo
2026-04-08,dividend,0.8,yahoo
