date,kind,value,source
1998-06-19,dividend,0.071778,yahoo
1999-06-14,dividend,0.082032,yahoo
2000-06-16,dividend,0.10254,yahoo
2001-06-27,dividend,0.056397,yahoo
2002-05-28,dividend,0.073375,yahoo
2003-02-21,split,2.0,yahoo
2003-06-27,dividend,0.209642,yahoo
2004-06-25,dividend,0.223619,yahoo
2005-06-28,dividend,0.139762,yahoo
2006-07-04,dividend,0.083857,yahoo
2007-06-28,dividend,0.083857,yahoo
2008-06-30,dividend,0.083857,yahoo
2009-06-26,dividend,0.03494,yahoo
2010-07-02,dividend,0.027952,yahoo
2011-07-01,dividend,0.027952,yahoo
2023-06-19,dividend,0.07,yahoo
2024-07-29,dividend,0.03,yahoo
2025-09-02,dividend,0.07,yahoo
2026-07-21,dividend,0.1,yahoo
