date,kind,value,source
2000-04-11,split,2.0,yahoo
2000-12-19,dividend,0.021054,yahoo
2001-10-15,dividend,0.035089,yahoo
2002-11-15,dividend,0.047826,yahoo
2003-12-18,dividend,0.057391,yahoo
2004-11-25,dividend,0.081304,yahoo
2005-12-08,dividend,0.105217,yahoo
2006-12-27,dividend,0.11,yahoo
2007-12-24,dividend,0.153043,yahoo
2008-12-17,dividend,0.191304,yahoo
2008-12-24,split,2.0,yahoo
2009-12-23,dividend,0.22,yahoo
2010-12-23,dividend,0.162704,yahoo
2014-03-05,split,1.0454545454545454,yahoo
2014-10-22,dividend,0.18,yahoo
2014-12-23,dividend,0.36,yahoo
2016-07-29,dividend,0.27,yahoo
2016-11-04,dividend,0.36,yahoo
2017-03-22,dividend,0.18,yahoo
2017-12-19,dividend,0.18,yahoo
2018-03-26,dividend,0.1728,yahoo
2018-12-13,dividend,0.2172,yahoo
2019-05-08,dividend,0.19,yahoo
2019-11-11,dividend,0.282,yahoo
2020-01-24,dividend,0.209,yahoo
2020-06-01,dividend,0.062,yahoo
2020-06-30,dividend,0.235,yahoo
2020-12-03,dividend,0.38,yahoo
2021-07-20,dividend,0.47,yahoo
2021-11-22,dividend,0.15,yahoo
2021-12-13,dividend,0.15,yahoo
2022-01-24,dividend,0.385,yahoo
2022-06-02,dividend,0.385,yahoo
2022-12-09,dividend,0.385,yahoo
2023-03-21,dividend,1.155,yahoo
2023-08-23,dividend,0.322,yahoo
2023-11-23,dividend,1.47,yahoo
2024-03-19,dividend,0.6,yahoo
2024-07-10,dividend,1.0,yahoo
2025-03-24,dividend,0.47256,yahoo
2025-07-21,dividend,0.506304,yahoo
2026-03-23,dividend,0.5,yahoo
2026-07-22,dividend,0.7,yahoo
