date,kind,value,source
2000-03-20,split,3.0,yahoo
2000-06-13,dividend,0.014352,yahoo
2001-06-08,dividend,0.071759,yahoo
2001-10-30,dividend,0.071759,yahoo
2002-04-25,dividend,0.085581,yahoo
2002-10-08,dividend,0.07091,yahoo
2003-04-22,dividend,0.114923,yahoo
2003-10-16,dividend,0.085581,yahoo
2004-04-29,dividend,0.134485,yahoo
2004-12-23,dividend,0.097807,yahoo
2005-04-21,dividend,0.13693,yahoo
2005-06-08,split,2.0,yahoo
2005-12-13,dividend,0.112478,yahoo
2006-05-09,dividend,0.156492,yahoo
2006-11-09,dividend,0.146711,yahoo
2007-04-20,dividend,0.176053,yahoo
2007-11-14,split,2.0,yahoo
2007-11-26,dividend,0.146711,yahoo
2008-05-09,dividend,0.176053,yahoo
2008-11-07,dividend,0.107588,yahoo
2009-05-12,dividend,0.107588,yahoo
2010-05-25,dividend,0.13204,yahoo
2010-06-14,dividend,0.13204,yahoo
2011-05-23,dividend,0.004401,yahoo
2012-05-18,dividend,0.003457,yahoo
2013-05-30,dividend,0.002565,yahoo
2026-07-23,dividend,0.016262,yahoo
