date,kind,value,source
2000-08-02,dividend,0.014674,yahoo
2001-07-23,dividend,0.023478,yahoo
2002-07-08,dividend,0.022,yahoo
2003-07-01,dividend,0.025,yahoo
2004-06-29,dividend,0.05,yahoo
2005-06-29,dividend,0.07,yahoo
2006-08-02,dividend,0.02,yahoo
2007-08-02,dividend,0.02,yahoo
2008-07-30,dividend,0.025,yahoo
2009-07-27,dividend,0.025,yahoo
2010-07-26,dividend,0.025,yahoo
2016-07-25,dividend,0.02,yahoo
2017-07-24,dividend,0.02,yahoo
2019-07-22,dividend,0.02,yahoo
2022-08-01,dividend,0.020268,yahoo
2023-08-07,dividend,0.04,yahoo
2024-07-08,dividend,0.06,yahoo
2024-07-24,split,2.0,yahoo
2025-07-14,dividend,0.065,yahoo
2026-06-08,dividend,0.08,yahoo
