date,kind,value,source
1998-07-01,dividend,0.140866,yahoo
1999-07-12,dividend,0.111519,yahoo
2000-06-26,dividend,0.064563,yahoo
2001-07-16,dividend,0.082172,yahoo
2002-07-05,dividend,0.1,yahoo
2003-07-03,dividend,0.09,yahoo
2004-07-01,dividend,0.04,yahoo
2005-07-01,dividend,0.05,yahoo
2006-06-29,dividend,0.065,yahoo
2007-06-28,dividend,0.085,yahoo
2008-06-26,dividend,0.06,yahoo
2019-05-28,dividend,0.03,yahoo
2020-06-01,dividend,0.03,yahoo
2021-04-14,dividend,0.242157,yahoo
2021-05-27,dividend,0.01,yahoo
2022-05-30,dividend,0.03,yahoo
2023-06-26,dividend,0.06,yahoo
2024-06-25,dividend,0.04,yahoo
2025-06-26,dividend,0.090149,yahoo
2026-06-22,dividend,0.11017,yahoo
