date,kind,value,source
1999-07-06,dividend,0.132062,yahoo
2000-07-05,dividend,0.161409,yahoo
2001-05-02,dividend,0.090976,yahoo
2001-06-06,dividend,0.205429,yahoo
2002-06-17,dividend,0.12,yahoo
2003-04-22,dividend,0.15,yahoo
2003-06-25,dividend,0.17,yahoo
2004-04-06,dividend,0.2,yahoo
2005-05-30,dividend,0.05,yahoo
2005-12-14,dividend,0.15,yahoo
2006-06-05,dividend,0.28,yahoo
2006-10-02,dividend,0.15,yahoo
2007-05-21,dividend,0.28,yahoo
2007-09-12,dividend,0.15,yahoo
2008-05-19,dividend,0.35,yahoo
2008-10-14,dividend,0.15,yahoo
2009-07-06,dividend,0.3,yahoo
2009-10-19,dividend,0.15,yahoo
2010-07-05,dividend,0.3,yahoo
2010-10-04,dividend,0.135,yahoo
2011-07-04,dividend,0.3,yahoo
2012-08-17,dividend,0.45,yahoo
2013-08-16,dividend,0.15,yahoo
2014-12-31,dividend,0.21,yahoo
2017-07-03,dividend,0.2,yahoo
2017-12-04,dividend,0.15,yahoo
2018-07-02,dividend,0.25,yahoo
2018-12-10,dividend,0.2625,yahoo
2019-07-01,dividend,0.5,yahoo
2020-01-07,dividend,0.25,yahoo
2020-06-29,dividend,0.25,yahoo
2021-07-05,dividend,0.1,yahoo
2022-04-21,dividend,0.3,yahoo
2022-06-27,dividend,0.1,yahoo
2022-11-01,dividend,0.4,yahoo
2023-01-11,dividend,0.25,yahoo
2023-06-28,dividend,0.5,yahoo
2024-01-10,dividend,0.3,yahoo
2024-07-10,dividend,0.6,yahoo
2025-01-20,dividend,0.2,yahoo
2025-07-02,dividend,0.55,yahoo
2026-01-19,dividend,0.2,yahoo
2026-07-01,dividend,0.400393,yahoo
