date,kind,value,source
1986-10-08,dividend,609.95105,yahoo
1988-10-03,dividend,607.95166,yahoo
1989-05-11,dividend,539.95703,yahoo
1992-06-29,dividend,299.97577,yahoo
1993-06-28,dividend,839.9328,yahoo
1994-07-01,dividend,859.9312,yahoo
1995-06-16,dividend,1799.856,yahoo
1998-05-07,dividend,2199.8242,yahoo
1999-05-27,dividend,649.9478,yahoo
2000-03-31,dividend,799.93604,yahoo
2000-04-27,split,1.4,yahoo
2001-04-11,dividend,1035.9172,yahoo
2002-04-25,dividend,1049.4263,yahoo
2003-05-12,dividend,429.31073,yahoo
2004-05-19,dividend,620.1155,yahoo
2004-06-11,split,1.3,yahoo
2005-05-18,dividend,744.1386,yahoo
2006-05-03,dividend,1240.231,yahoo
2007-06-01,dividend,1308.3878,yahoo
2008-05-16,dividend,523.35516,yahoo
2013-05-24,split,0.1,yahoo
2015-12-03,split,0.06666666666666667,yahoo
2018-08-29,split,0.1,yahoo
2024-07-29,dividend,0.364259,yahoo
2025-06-03,dividend,0.4442,yahoo
2025-11-10,dividend,0.221,yahoo
2026-06-10,dividend,0.293967,yahoo
