date,kind,value,source
1999-06-30,dividend,99.55425,yahoo
2000-05-26,dividend,221.23083,yahoo
2000-12-12,split,1.3,yahoo
2001-05-16,dividend,517.68115,yahoo
2002-04-23,dividend,519.39905,yahoo
2003-05-20,dividend,460.59918,yahoo
2004-04-06,dividend,587.99896,yahoo
2004-11-29,dividend,293.99948,yahoo
2005-04-06,dividend,411.59927,yahoo
2005-12-06,dividend,352.79938,yahoo
2006-04-05,dividend,529.19904,yahoo
2006-12-01,dividend,352.79938,yahoo
2007-04-05,dividend,548.799,yahoo
2007-11-30,dividend,313.59943,yahoo
2008-05-02,dividend,489.9991,yahoo
2009-08-12,split,1.0204081632653061,yahoo
2013-06-13,split,0.1,yahoo
2015-11-27,split,0.01,yahoo
2024-07-25,dividend,0.09333,yahoo
2025-05-05,dividend,0.105,yahoo
2025-11-06,dividend,0.04681,yahoo
2026-06-10,dividend,0.07187,yahoo
