date,kind,value,source
2002-05-22,dividend,0.18,yahoo
2005-05-18,dividend,2.05,yahoo
2006-05-10,dividend,0.25,yahoo
2007-05-11,dividend,0.5,yahoo
2008-05-16,dividend,0.75,yahoo
2009-05-13,dividend,0.45,yahoo
2010-05-26,dividend,0.22,yahoo
2011-05-25,dividend,0.15,yahoo
2012-06-01,dividend,0.11,yahoo
2013-06-03,dividend,0.09,yahoo
2015-05-26,dividend,0.21,yahoo
2016-05-31,dividend,0.1026,yahoo
2017-05-30,dividend,0.06499,yahoo
2018-06-05,dividend,0.050208,yahoo
2018-08-06,dividend,0.150624,yahoo
2019-06-05,dividend,0.05,yahoo
2019-08-05,dividend,0.11,yahoo
2020-06-04,dividend,0.07,yahoo
2020-08-05,dividend,0.09,yahoo
2021-06-04,dividend,0.07,yahoo
2021-08-04,dividend,0.07,yahoo
2022-06-08,dividend,0.1515,yahoo
2023-06-14,dividend,0.156477,yahoo
2024-06-25,dividend,0.250363,yahoo
2025-06-23,dividend,0.302522,yahoo
2026-06-23,dividend,0.11475,yahoo
