date,kind,value,source
2002-04-19,dividend,0.09,yahoo
2003-06-19,dividend,0.15,yahoo
2004-07-01,dividend,0.075,yahoo
2005-07-01,dividend,0.08,yahoo
2006-08-03,dividend,0.08,yahoo
2007-08-17,dividend,0.09,yahoo
2007-12-12,split,2.0,yahoo
2008-08-08,dividend,0.12,yahoo
2009-08-18,dividend,0.126,yahoo
2010-08-19,dividend,0.133,yahoo
2011-08-19,dividend,0.114,yahoo
2012-08-17,dividend,0.188,yahoo
2013-08-16,dividend,0.162,yahoo
2014-08-14,dividend,0.12,yahoo
2015-08-03,dividend,0.24,yahoo
2016-06-23,dividend,0.25,yahoo
2017-06-29,dividend,0.228,yahoo
2018-06-28,dividend,0.221,yahoo
2019-06-27,dividend,0.126,yahoo
2020-07-09,dividend,0.268,yahoo
2021-06-28,dividend,0.223,yahoo
2022-09-14,dividend,0.2186,yahoo
2024-08-27,dividend,0.0276,yahoo
2025-07-01,dividend,0.055,yahoo
2026-08-25,dividend,0.0746,yahoo
