date,kind,value,source
2001-06-28,dividend,0.211299,yahoo
2002-07-01,dividend,0.22,yahoo
2003-06-26,dividend,0.1,yahoo
2004-06-14,dividend,0.13,yahoo
2005-06-30,dividend,0.06,yahoo
2006-07-04,dividend,0.07,yahoo
2007-06-05,dividend,0.11,yahoo
2008-06-04,dividend,0.14,yahoo
2009-07-06,dividend,0.13,yahoo
2010-07-06,dividend,0.02,yahoo
2011-07-06,dividend,0.04,yahoo
2012-07-04,dividend,0.17,yahoo
2013-07-03,dividend,0.15,yahoo
2013-07-31,dividend,0.05,yahoo
2014-05-05,dividend,0.344,yahoo
2015-05-05,dividend,0.2,yahoo
2016-06-28,dividend,0.31,yahoo
2016-12-28,dividend,0.38,yahoo
2017-06-22,dividend,0.11,yahoo
2018-06-22,dividend,0.2,yahoo
2019-06-28,dividend,0.27,yahoo
2020-06-30,dividend,0.38,yahoo
2021-06-30,dividend,0.24,yahoo
2021-09-13,dividend,0.23,yahoo
2022-09-05,dividend,0.28,yahoo
2023-09-13,dividend,0.02,yahoo
2024-07-22,dividend,0.1,yahoo
2025-07-22,dividend,0.07,yahoo
