date,kind,value,source
1993-07-12,dividend,0.454879,yahoo
1999-06-21,dividend,0.058694,yahoo
2000-06-30,dividend,0.080705,yahoo
2001-07-02,dividend,0.073368,yahoo
2002-07-01,dividend,0.075,yahoo
2002-07-16,split,2.0,yahoo
2003-07-01,dividend,0.02,yahoo
2005-06-27,dividend,0.1,yahoo
2006-07-06,dividend,0.02,yahoo
2007-07-02,dividend,0.18,yahoo
2008-06-23,dividend,0.3,yahoo
2009-06-22,dividend,0.36,yahoo
2010-06-21,dividend,0.25,yahoo
2022-06-30,dividend,0.110199,yahoo
2023-06-29,dividend,0.11,yahoo
2024-06-26,dividend,0.12,yahoo
2025-06-27,dividend,0.15,yahoo
2026-06-29,dividend,0.15,yahoo
