date,kind,value,source
1996-06-21,dividend,0.381511,yahoo
1997-05-30,dividend,0.528247,yahoo
1998-03-27,dividend,0.322817,yahoo
1998-06-18,dividend,0.322817,yahoo
1999-06-16,dividend,0.586941,yahoo
2000-06-30,dividend,0.645635,yahoo
2001-06-26,dividend,0.704329,yahoo
2002-06-20,dividend,0.7043,yahoo
2003-07-01,dividend,0.7,yahoo
2004-06-18,dividend,0.35,yahoo
2007-06-26,dividend,0.55,yahoo
2008-07-01,dividend,0.75,yahoo
2009-06-29,dividend,0.75,yahoo
2010-07-09,dividend,0.19,yahoo
2011-06-28,dividend,0.1179,yahoo
2015-06-25,dividend,0.08,yahoo
2016-06-29,dividend,0.1,yahoo
2017-07-07,dividend,0.16,yahoo
2018-06-28,dividend,0.35288,yahoo
2019-07-04,dividend,0.463903,yahoo
2019-07-22,dividend,0.060595,yahoo
2020-07-09,dividend,0.555409,yahoo
2021-06-25,dividend,0.687878,yahoo
2021-11-15,dividend,0.252068,yahoo
2022-07-01,dividend,0.571033,yahoo
2023-07-05,dividend,0.58878,yahoo
2024-07-04,dividend,0.7216,yahoo
2025-07-03,dividend,0.7415,yahoo
2026-07-01,dividend,0.90214,yahoo
