date,kind,value,source
1994-08-26,dividend,1.923896,yahoo
1994-12-19,dividend,0.939839,yahoo
1998-04-13,dividend,1.283933,yahoo
1999-06-03,dividend,0.97579,yahoo
2000-06-29,dividend,0.616287,yahoo
2001-07-02,dividend,0.667644,yahoo
2002-05-27,dividend,0.735,yahoo
2003-07-01,dividend,0.35,yahoo
2004-06-23,dividend,0.175,yahoo
2005-07-01,dividend,0.175,yahoo
2007-07-03,dividend,0.175,yahoo
2018-09-14,split,0.5,yahoo
2018-09-17,split,1.1428571428571428,yahoo
2022-09-23,dividend,0.12,yahoo
2023-07-17,dividend,0.12,yahoo
2024-06-25,dividend,0.050372,yahoo
2024-07-02,dividend,0.07,yahoo
2025-09-22,dividend,0.120893,yahoo
2026-06-22,dividend,0.18134,yahoo
