date,kind,value,source
2004-06-29,dividend,0.018176,yahoo
2005-06-09,dividend,0.022941,yahoo
2006-03-29,split,2.0,yahoo
2006-07-05,dividend,0.025765,yahoo
2007-07-30,dividend,0.035294,yahoo
2007-09-19,split,2.0,yahoo
2008-07-28,dividend,0.042353,yahoo
2009-07-06,dividend,0.038118,yahoo
2010-08-03,split,1.4166666666666667,yahoo
2015-08-04,dividend,0.06,yahoo
2016-08-18,dividend,0.06,yahoo
2017-08-17,dividend,0.09,yahoo
2018-08-23,dividend,0.115,yahoo
2019-08-22,dividend,0.15,yahoo
2020-08-20,dividend,0.18,yahoo
2021-08-12,dividend,0.200018,yahoo
2022-08-18,dividend,0.200079,yahoo
2023-08-24,dividend,0.200419,yahoo
2024-08-22,dividend,0.350632,yahoo
2025-08-21,dividend,0.400717,yahoo
2026-08-20,dividend,0.451035,yahoo
