date,kind,value,source
2002-06-03,dividend,0.53,yahoo
2002-12-03,dividend,0.2,yahoo
2003-06-02,dividend,0.5,yahoo
2003-12-03,dividend,0.2,yahoo
2004-06-02,dividend,0.3,yahoo
2004-12-03,dividend,0.2,yahoo
2005-06-01,dividend,0.65,yahoo
2005-12-05,dividend,0.2,yahoo
2006-06-01,dividend,0.9,yahoo
2006-12-04,dividend,0.2,yahoo
2007-06-01,dividend,0.95,yahoo
2007-12-04,dividend,0.2,yahoo
2008-06-02,dividend,1.0,yahoo
2008-12-04,dividend,0.2,yahoo
2009-06-01,dividend,0.4,yahoo
2009-12-07,dividend,0.2,yahoo
2010-05-31,dividend,0.45,yahoo
2011-05-30,dividend,0.25,yahoo
2012-07-02,dividend,0.4,yahoo
2013-06-26,dividend,0.3,yahoo
2014-06-26,dividend,0.2,yahoo
2015-12-07,dividend,0.15,yahoo
2016-06-27,dividend,0.5,yahoo
2016-12-12,dividend,0.2,yahoo
2017-06-26,dividend,0.7,yahoo
2017-12-11,dividend,0.3,yahoo
2018-06-26,dividend,1.0,yahoo
2018-12-10,dividend,0.3675,yahoo
2019-06-26,dividend,0.95,yahoo
2019-12-10,dividend,0.3675,yahoo
2020-06-24,dividend,0.800696,yahoo
2021-11-08,dividend,0.200689,yahoo
2022-07-07,dividend,0.704734,yahoo
2022-11-21,dividend,0.40584,yahoo
2023-06-26,dividend,1.22407,yahoo
2023-12-18,dividend,0.409137,yahoo
2024-06-26,dividend,1.43237,yahoo
2024-12-23,dividend,0.308813,yahoo
2025-06-25,dividend,1.124866,yahoo
2025-12-23,dividend,0.357912,yahoo
2026-06-26,dividend,1.427837,yahoo
