date,kind,value,source
2002-06-18,dividend,0.15,yahoo
2003-06-13,dividend,0.16,yahoo
2004-06-17,dividend,0.16,yahoo
2005-07-01,dividend,0.2,yahoo
2006-07-21,dividend,0.2,yahoo
2007-07-20,dividend,0.2,yahoo
2008-07-18,dividend,0.46,yahoo
2009-07-16,dividend,0.18,yahoo
2010-07-19,dividend,0.15,yahoo
2011-07-19,dividend,0.21,yahoo
2012-07-18,dividend,0.4,yahoo
2013-07-17,dividend,1.5,yahoo
2014-08-13,dividend,4.0,yahoo
2015-05-04,dividend,1.95,yahoo
2016-07-18,dividend,0.58,yahoo
2017-07-31,dividend,0.49,yahoo
2018-07-05,dividend,0.45,yahoo
2019-07-02,dividend,0.57,yahoo
2020-07-06,dividend,1.17,yahoo
2021-06-30,dividend,1.42,yahoo
2022-04-27,dividend,1.5,yahoo
2023-05-11,dividend,1.45,yahoo
2024-05-14,dividend,1.3,yahoo
2025-05-16,dividend,2.0,yahoo
2026-05-14,dividend,2.2,yahoo
