date,kind,value,source
2000-06-15,dividend,0.004402,yahoo
2001-06-22,dividend,0.093544,yahoo
2002-07-01,dividend,0.105,yahoo
2003-05-23,dividend,0.13125,yahoo
2004-05-28,dividend,0.15,yahoo
2004-06-25,split,2.0,yahoo
2005-05-26,dividend,0.1575,yahoo
2006-05-16,dividend,0.1575,yahoo
2007-04-25,dividend,0.1875,yahoo
2008-06-04,dividend,0.135,yahoo
2009-06-30,dividend,0.09,yahoo
2010-06-28,dividend,0.09,yahoo
2012-04-30,dividend,0.1125,yahoo
2013-10-16,split,0.3333333333333333,yahoo
2015-05-20,dividend,0.2,yahoo
2016-06-07,dividend,0.2125,yahoo
2017-06-15,dividend,0.2125,yahoo
2018-05-17,dividend,0.275,yahoo
2019-05-20,dividend,0.375,yahoo
2019-06-25,split,4.0,yahoo
2020-07-20,dividend,0.23,yahoo
2021-04-07,dividend,0.23,yahoo
2022-04-08,dividend,0.46,yahoo
2022-12-05,dividend,1.010978,yahoo
2023-04-24,dividend,0.65,yahoo
2024-04-22,dividend,0.7,yahoo
2025-04-10,dividend,0.85,yahoo
2026-04-24,dividend,0.85,yahoo
