date,kind,value,source
2000-08-24,dividend,0.026412,yahoo
2001-08-23,dividend,0.017608,yahoo
2002-08-21,dividend,0.02,yahoo
2003-08-14,dividend,0.025,yahoo
2004-08-02,dividend,0.013,yahoo
2005-07-07,dividend,0.017,yahoo
2006-06-23,dividend,0.05,yahoo
2007-07-18,dividend,0.022,yahoo
2008-07-09,dividend,0.022,yahoo
2010-05-14,dividend,0.033333,yahoo
2011-05-02,dividend,0.036,yahoo
2013-06-10,dividend,0.046667,yahoo
2014-04-28,dividend,0.05,yahoo
2015-01-20,dividend,0.025,yahoo
2015-04-20,dividend,0.022536,yahoo
2018-05-18,dividend,0.047054,yahoo
2019-06-20,dividend,0.044447,yahoo
2020-07-17,dividend,0.045768,yahoo
2020-12-17,dividend,0.05758,yahoo
2021-05-26,dividend,0.16,yahoo
2021-12-01,dividend,0.109858,yahoo
2022-05-30,dividend,0.162482,yahoo
2023-01-30,dividend,0.069784,yahoo
2023-05-31,dividend,0.193068,yahoo
2023-11-30,dividend,0.06986,yahoo
2024-06-03,dividend,0.168897,yahoo
2025-01-23,dividend,0.069967,yahoo
2025-06-10,dividend,0.169086,yahoo
2026-01-19,dividend,0.070001,yahoo
2026-06-15,dividend,0.175052,yahoo
