date,kind,value,source
2004-06-01,dividend,0.256,yahoo
2005-07-01,dividend,0.2,yahoo
2006-08-11,dividend,0.15,yahoo
2007-07-20,dividend,0.16,yahoo
2008-08-14,dividend,0.33,yahoo
2009-08-06,dividend,0.07,yahoo
2011-07-28,dividend,0.02,yahoo
2012-08-10,dividend,0.01,yahoo
2013-07-18,dividend,0.05,yahoo
2014-07-17,dividend,0.12,yahoo
2015-06-25,dividend,0.099,yahoo
2016-07-18,dividend,0.1114,yahoo
2017-07-19,dividend,0.0892,yahoo
2018-07-19,dividend,0.1712,yahoo
2019-07-22,dividend,0.424,yahoo
2020-07-27,dividend,0.5388,yahoo
2021-07-26,dividend,0.4,yahoo
2022-07-25,dividend,0.628,yahoo
2023-08-07,dividend,1.04,yahoo
2024-07-29,dividend,1.336,yahoo
2025-08-04,dividend,1.92,yahoo
2026-08-03,dividend,1.896,yahoo
