date,kind,value,source
2004-05-28,dividend,0.022,yahoo
2006-06-15,dividend,0.0255,yahoo
2007-07-04,dividend,0.02,yahoo
2008-07-30,dividend,0.028075,yahoo
2009-07-24,dividend,0.005634,yahoo
2015-03-26,dividend,0.01,yahoo
2018-05-29,dividend,0.02,yahoo
2019-07-10,dividend,0.025,yahoo
2020-04-07,dividend,0.0225,yahoo
2020-05-26,dividend,0.0125,yahoo
2021-07-13,dividend,0.02508,yahoo
2022-06-08,split,2.0,yahoo
2022-06-27,dividend,0.032414,yahoo
2023-07-03,dividend,0.040002,yahoo
2024-06-04,dividend,0.048981,yahoo
2025-07-01,dividend,0.064728,yahoo
2026-06-30,dividend,0.081791,yahoo
2026-09-16,dividend,0.24,yahoo
