date,kind,value,source
2000-07-03,dividend,0.065216,yahoo
2007-06-11,dividend,0.022222,yahoo
2008-09-05,dividend,0.137778,yahoo
2013-12-12,split,0.25,yahoo
2018-09-17,dividend,0.002222,yahoo
2019-07-30,split,3.0,yahoo
2019-11-25,dividend,0.046667,yahoo
2020-07-21,dividend,0.05,yahoo
2020-12-04,dividend,0.1,yahoo
2021-06-23,dividend,0.1,yahoo
2022-02-01,dividend,0.416667,yahoo
2022-03-16,split,3.0,yahoo
2022-06-17,dividend,0.15,yahoo
2023-06-20,dividend,0.2,yahoo
2024-06-25,dividend,0.22,yahoo
2025-06-23,dividend,0.3,yahoo
2026-06-12,dividend,0.4,yahoo
