date,kind,value,source
1996-08-27,dividend,0.088041,yahoo
1997-05-12,dividend,0.102715,yahoo
1998-07-16,dividend,0.088041,yahoo
1999-08-26,dividend,0.036684,yahoo
2000-06-06,dividend,0.095378,yahoo
2004-07-12,dividend,0.035,yahoo
2005-06-02,dividend,0.05,yahoo
2006-06-21,dividend,0.065,yahoo
2007-06-21,dividend,0.065,yahoo
2008-05-29,dividend,0.085,yahoo
2009-07-28,dividend,0.015905,yahoo
2010-07-06,dividend,0.004779,yahoo
2014-01-17,dividend,0.15,yahoo
2015-05-15,dividend,0.075,yahoo
2016-04-20,dividend,0.08,yahoo
2017-05-09,dividend,0.0875,yahoo
2018-05-24,dividend,0.14,yahoo
2018-06-13,split,2.0,yahoo
2019-07-24,dividend,0.14893,yahoo
2020-05-11,dividend,0.16701,yahoo
2021-05-25,dividend,0.223927,yahoo
2022-06-03,dividend,0.149338,yahoo
2023-05-09,dividend,0.149513,yahoo
2024-05-02,dividend,0.231286,yahoo
2025-05-02,dividend,0.3139,yahoo
2026-05-04,dividend,0.395168,yahoo
