date,kind,value,source
1998-05-04,dividend,71652.89,yahoo
1999-03-12,dividend,62099.17,yahoo
2000-03-31,dividend,109867.93,yahoo
2001-04-12,dividend,47768.594,yahoo
2002-05-16,dividend,43948.344,yahoo
2003-04-01,dividend,40692.91,yahoo
2004-04-08,dividend,48831.492,yahoo
2005-04-08,dividend,65108.66,yahoo
2006-05-08,dividend,81385.82,yahoo
2006-12-01,dividend,52086.926,yahoo
2007-04-05,dividend,52086.926,yahoo
2007-12-03,dividend,61583.645,yahoo
2008-05-16,dividend,61583.727,yahoo
2009-06-01,split,1.0212765957446808,yahoo
2013-06-05,split,0.1,yahoo
2015-11-27,split,0.01,yahoo
2017-07-31,split,0.05,yahoo
2021-04-14,split,0.06060606060606061,yahoo
2024-07-10,dividend,0.063158,yahoo
2025-06-03,dividend,0.298671,yahoo
2026-08-03,dividend,0.4,yahoo
