date,open,high,low,close,volume,settled,source
2007-07-11,9.620341,9.711099,8.422336,8.440488,9090885.000000,True,yahoo
2007-07-12,8.622004,8.640155,8.113759,8.168214,2182178.000000,True,yahoo
2007-07-13,8.258972,8.458639,8.077456,8.258972,1200556.000000,True,yahoo
2007-07-16,8.277123,8.313427,8.131911,8.150062,669362.000000,True,yahoo
2007-07-17,8.168214,8.204517,8.023001,8.023001,358866.000000,True,yahoo
2007-07-18,8.004850,8.041153,7.895940,8.004850,464532.000000,True,yahoo
2007-07-19,7.986698,8.059304,7.895940,7.895940,367681.000000,True,yahoo
2007-07-20,7.823334,7.895940,7.641818,7.641818,747042.000000,True,yahoo
2007-07-23,7.659969,7.950395,7.659969,7.841485,281297.000000,True,yahoo
2007-07-24,7.895940,7.914092,7.532908,7.569212,349831.000000,True,yahoo
2007-07-25,7.569212,7.768879,7.442150,7.750727,208025.000000,True,yahoo
2007-07-26,7.750727,7.750727,7.460302,7.460302,183344.000000,True,yahoo
2007-07-27,7.442150,7.442150,7.260635,7.405847,304656.000000,True,yahoo
2007-07-30,7.405847,7.405847,7.278786,7.296938,167919.000000,True,yahoo
2007-07-31,7.369544,7.442150,7.351392,7.423999,114700.000000,True,yahoo
2007-08-01,7.333241,7.333241,7.260635,7.278786,155358.000000,True,yahoo
2007-08-02,7.315089,7.351392,7.296938,7.315089,95528.000000,True,yahoo
2007-08-03,7.333241,7.351392,7.224331,7.278786,156680.000000,True,yahoo
2007-08-06,7.260635,7.260635,7.060967,7.133573,186760.000000,True,yahoo
2007-08-07,7.151725,7.278786,6.988361,6.988361,126931.000000,True,yahoo
2007-08-08,7.024664,7.115422,6.970209,6.970209,125608.000000,True,yahoo
2007-08-09,6.988361,7.006512,6.879451,6.897603,190396.000000,True,yahoo
2007-08-10,6.734238,6.806845,6.552723,6.679784,232156.000000,True,yahoo
2007-08-13,6.679784,6.716087,6.443813,6.443813,380572.000000,True,yahoo
2007-08-14,6.498268,6.607177,6.443813,6.589026,75127.000000,True,yahoo
2007-08-15,6.589026,6.589026,6.589026,6.589026,0.000000,True,yahoo
2007-08-16,6.480116,6.480116,6.244146,6.389358,235130.000000,True,yahoo
2007-08-17,6.353055,6.498268,6.316752,6.498268,205932.000000,True,yahoo
2007-08-20,6.607177,6.806845,6.589026,6.752390,166046.000000,True,yahoo
2007-08-21,6.752390,7.133573,6.679784,6.988361,135745.000000,True,yahoo
2007-08-22,6.988361,7.224331,6.988361,7.115422,95198.000000,True,yahoo
