date,open,high,low,close,volume,settled,source
2025-02-12,4.370000,4.496000,4.350000,4.450000,307878,True,yahoo
2025-02-13,4.450000,4.479500,4.440000,4.450000,149856,True,yahoo
2025-02-14,4.450000,4.499000,4.446000,4.498000,238701,True,yahoo
2025-02-17,4.499500,4.630000,4.499500,4.600000,325835,True,yahoo
2025-02-18,4.580000,4.610000,4.560000,4.580000,232143,True,yahoo
2025-02-19,4.580000,4.603000,4.500000,4.515500,135074,True,yahoo
2025-02-20,4.510000,4.558000,4.498000,4.529000,135498,True,yahoo
2025-02-21,4.520000,4.569500,4.480000,4.545000,238406,True,yahoo
2025-02-24,4.520000,4.545000,4.483000,4.509500,140049,True,yahoo
2025-02-25,4.500000,4.509000,4.470000,4.496000,109360,True,yahoo
2025-02-26,4.496000,4.598000,4.496000,4.590000,594710,True,yahoo
2025-02-27,4.480000,4.599000,4.480000,4.565500,151417,True,yahoo
2025-02-28,4.550000,4.557000,4.487000,4.519000,181170,True,yahoo
2025-03-04,4.450000,4.575000,4.450000,4.570000,472842,True,yahoo
2025-03-05,4.531000,4.670000,4.531000,4.640000,226095,True,yahoo
2025-03-06,4.660000,4.699500,4.557000,4.590000,196204,True,yahoo
2025-03-07,4.578500,4.650000,4.571500,4.644000,376849,True,yahoo
2025-03-10,4.640000,4.810000,4.630000,4.784500,500958,True,yahoo
2025-03-11,4.760000,4.807000,4.695000,4.719500,407378,True,yahoo
2025-03-12,4.740000,4.758000,4.680000,4.720000,250696,True,yahoo
2025-03-13,4.720000,4.726000,4.600000,4.690000,265953,True,yahoo
2025-03-14,4.660000,4.696000,4.620000,4.672000,312609,True,yahoo
2025-03-17,4.680000,4.682000,4.620000,4.646000,52643,True,yahoo
2025-03-18,4.640000,4.640000,4.550000,4.598000,311446,True,yahoo
2025-03-19,4.598000,4.610000,4.530000,4.582000,206414,True,yahoo
2025-03-20,4.580000,4.600000,4.540000,4.560000,121145,True,yahoo
2025-03-21,4.510000,4.550000,4.426000,4.434000,257780,True,yahoo
2025-03-24,4.406000,4.496000,4.406000,4.490000,81645,True,yahoo
2025-03-26,4.498000,4.498000,4.422000,4.428000,170851,True,yahoo
2025-03-27,4.428000,4.434000,4.390000,4.434000,138449,True,yahoo
2025-03-28,4.430000,4.490000,4.430000,4.468000,79447,True,yahoo
2025-03-31,4.480000,4.480000,4.348000,4.348000,195523,True,yahoo
2025-04-01,4.348000,4.460000,4.338000,4.448000,114193,True,yahoo
2025-04-02,4.440000,4.462000,4.396000,4.398000,125170,True,yahoo
2025-04-03,4.398000,4.398000,4.272000,4.330000,160582,True,yahoo
2025-04-04,4.288000,4.310000,4.076000,4.200000,384914,True,yahoo
2025-04-07,3.820000,4.046000,3.820000,3.980000,242487,True,yahoo
2025-04-08,3.980000,4.202000,3.980000,4.132000,190302,True,yahoo
2025-04-09,3.982000,4.070000,3.930000,3.998000,123944,True,yahoo
2025-04-10,4.200000,4.210000,4.050000,4.080000,166699,True,yahoo
2025-04-11,4.114000,4.118000,4.042000,4.068000,66618,True,yahoo
2025-04-14,4.080000,4.276000,4.080000,4.200000,100783,True,yahoo
2025-04-15,4.200000,4.242000,4.174000,4.194000,42625,True,yahoo
2025-04-16,4.190000,4.200000,4.162000,4.200000,41466,True,yahoo
2025-04-17,4.220000,4.234000,4.096000,4.150000,66496,True,yahoo
2025-04-22,4.150000,4.174000,4.090000,4.166000,42908,True,yahoo
2025-04-23,4.200000,4.210000,4.142000,4.148000,85902,True,yahoo
2025-04-24,4.152000,4.188000,4.100000,4.132000,131480,True,yahoo
2025-04-25,4.132000,4.158000,4.130000,4.154000,67269,True,yahoo
2025-04-28,4.126000,4.160000,4.120000,4.148000,45194,True,yahoo
