date,open,high,low,close,volume,settled,source
2024-02-08,9.200000,9.338000,9.200000,9.200000,2333059,True,yahoo
2024-02-09,9.300000,9.300000,9.170000,9.170000,1690650,True,yahoo
2024-02-12,9.250000,9.250000,8.856000,8.860000,1879725,True,yahoo
2024-02-13,8.900000,9.004000,8.870000,8.870000,3028380,True,yahoo
2024-02-14,8.870000,8.951000,8.730000,8.750000,785817,True,yahoo
2024-02-15,8.840000,8.900000,8.720000,8.720000,680630,True,yahoo
2024-02-16,8.800000,8.850000,8.715000,8.715000,625255,True,yahoo
2024-02-19,8.720000,8.720000,8.560000,8.606000,798430,True,yahoo
2024-02-20,8.606000,8.770000,8.600000,8.610000,581041,True,yahoo
2024-02-21,8.610000,8.750000,8.610000,8.700000,372257,True,yahoo
2024-02-22,8.750000,8.760000,8.681000,8.700000,268344,True,yahoo
2024-02-23,8.747000,8.747000,8.662000,8.683000,124746,True,yahoo
2024-02-26,8.699000,8.731000,8.690000,8.693000,133723,True,yahoo
2024-02-27,8.750000,8.750000,8.680000,8.680000,293590,True,yahoo
2024-02-28,8.730000,8.730000,8.604000,8.655000,261507,True,yahoo
2024-02-29,8.655000,8.800000,8.655000,8.700000,232014,True,yahoo
2024-03-01,8.700000,8.746000,8.610000,8.610000,213408,True,yahoo
2024-03-04,8.700000,8.790000,8.660000,8.715000,683912,True,yahoo
2024-03-05,8.715000,8.750000,8.660000,8.690000,142549,True,yahoo
2024-03-06,8.700000,8.715000,8.660000,8.700000,216110,True,yahoo
2024-03-07,8.700000,8.730000,8.645000,8.680000,193142,True,yahoo
2024-03-08,8.680000,8.700000,8.650000,8.657000,340100,True,yahoo
2024-03-11,8.800000,8.800000,8.610000,8.619000,254780,True,yahoo
2024-03-12,8.619000,8.682000,8.562000,8.650000,406004,True,yahoo
2024-03-13,8.650000,8.800000,8.619000,8.754000,270252,True,yahoo
2024-03-14,8.760000,8.798000,8.670000,8.684000,317509,True,yahoo
2024-03-15,8.700000,8.740000,8.531000,8.660000,474388,True,yahoo
2024-03-19,8.550000,8.656000,8.550000,8.580000,472478,True,yahoo
2024-03-20,8.600000,8.620000,8.560000,8.620000,242151,True,yahoo
2024-03-21,8.620000,8.630000,8.520000,8.520000,410742,True,yahoo
2024-03-22,8.630000,8.630000,8.550000,8.597000,128434,True,yahoo
2024-03-26,8.600000,8.626000,8.521000,8.600000,95122,True,yahoo
2024-03-27,8.600000,8.601000,8.542000,8.580000,91955,True,yahoo
2024-03-28,8.580000,8.580000,8.500000,8.500000,507948,True,yahoo
2024-04-02,8.500000,8.630000,8.500000,8.509000,367676,True,yahoo
2024-04-03,8.550000,8.580000,8.440000,8.454000,445531,True,yahoo
2024-04-04,8.454000,8.540000,8.454000,8.460000,218032,True,yahoo
2024-04-05,8.500000,8.500000,8.400000,8.400000,104966,True,yahoo
2024-04-08,8.490000,8.494000,8.425000,8.480000,158465,True,yahoo
