date,open,high,low,close,volume,settled,source
2001-04-25,5.580000,6.320000,5.520000,5.640000,3571300.000000,True,yahoo
2001-04-26,5.700000,5.780000,5.300000,5.400000,720680.000000,True,yahoo
2001-04-27,5.400000,5.620000,5.320000,5.380000,647630.000000,True,yahoo
2001-04-30,5.400000,5.480000,5.220000,5.260000,225030.000000,True,yahoo
2001-05-01,5.260000,5.260000,5.260000,5.260000,0.000000,True,yahoo
2001-05-02,5.320000,5.740000,5.280000,5.480000,1095430.000000,True,yahoo
2001-05-03,5.560000,5.700000,5.480000,5.560000,372350.000000,True,yahoo
2001-05-04,5.520000,5.620000,5.460000,5.480000,350080.000000,True,yahoo
2001-05-07,5.500000,5.520000,5.260000,5.280000,184430.000000,True,yahoo
2001-05-08,5.280000,5.440000,5.260000,5.300000,84400.000000,True,yahoo
2001-05-09,5.300000,5.360000,5.180000,5.300000,135580.000000,True,yahoo
2001-05-10,5.300000,5.420000,5.240000,5.320000,74810.000000,True,yahoo
2001-05-11,5.440000,5.440000,5.280000,5.300000,78590.000000,True,yahoo
2001-05-14,5.280000,5.280000,5.180000,5.200000,96350.000000,True,yahoo
2001-05-15,5.220000,5.280000,5.160000,5.200000,84460.000000,True,yahoo
2001-05-16,5.200000,5.260000,5.180000,5.240000,61000.000000,True,yahoo
2001-05-17,5.280000,5.320000,5.180000,5.200000,49210.000000,True,yahoo
2001-05-18,5.260000,5.420000,5.240000,5.380000,178540.000000,True,yahoo
2001-05-21,5.460000,5.480000,5.340000,5.380000,209530.000000,True,yahoo
2001-05-22,5.400000,5.400000,5.260000,5.300000,46180.000000,True,yahoo
2001-05-23,5.360000,5.360000,5.240000,5.300000,74880.000000,True,yahoo
2001-05-24,5.300000,5.300000,5.220000,5.260000,48740.000000,True,yahoo
2001-05-25,5.300000,5.340000,5.220000,5.260000,98830.000000,True,yahoo
2001-05-28,5.300000,5.420000,5.260000,5.280000,77340.000000,True,yahoo
2001-05-29,5.340000,5.340000,5.260000,5.280000,43400.000000,True,yahoo
2001-05-30,5.300000,5.300000,5.220000,5.300000,54840.000000,True,yahoo
2001-05-31,5.240000,5.340000,5.240000,5.240000,45390.000000,True,yahoo
2001-06-01,5.320000,5.440000,5.300000,5.340000,191970.000000,True,yahoo
2001-06-04,5.340000,5.340000,5.340000,5.340000,0.000000,True,yahoo
2001-06-05,5.300000,5.360000,5.040000,5.160000,69960.000000,True,yahoo
2001-06-06,5.180000,5.240000,5.140000,5.200000,61030.000000,True,yahoo
2001-06-07,5.220000,5.260000,5.160000,5.200000,23560.000000,True,yahoo
2001-06-08,5.220000,5.220000,5.060000,5.120000,55300.000000,True,yahoo
2001-06-11,5.220000,5.220000,5.040000,5.160000,53290.000000,True,yahoo
2001-06-12,5.160000,5.160000,5.000000,5.060000,65260.000000,True,yahoo
2001-06-13,5.040000,5.120000,4.980000,5.040000,71970.000000,True,yahoo
2001-06-14,5.040000,5.080000,4.900000,4.940000,49460.000000,True,yahoo
2001-06-15,4.860000,4.960000,4.820000,4.860000,31180.000000,True,yahoo
2001-06-18,4.820000,4.860000,4.820000,4.840000,480.000000,True,yahoo
2001-06-19,4.820000,4.980000,4.820000,4.900000,33890.000000,True,yahoo
2001-06-20,4.920000,4.920000,4.620000,4.680000,152800.000000,True,yahoo
2001-06-21,4.680000,4.700000,4.540000,4.660000,69850.000000,True,yahoo
2001-06-22,4.680000,4.680000,4.440000,4.580000,94780.000000,True,yahoo
2001-06-25,4.440000,4.500000,4.280000,4.320000,58890.000000,True,yahoo
2001-06-26,4.320000,4.320000,4.140000,4.240000,119430.000000,True,yahoo
2001-06-27,4.240000,4.360000,4.200000,4.320000,32820.000000,True,yahoo
2001-06-28,4.340000,4.660000,4.340000,4.600000,179530.000000,True,yahoo
2001-06-29,4.660000,4.700000,4.600000,4.660000,55080.000000,True,yahoo
2001-07-02,4.640000,4.820000,4.560000,4.780000,100060.000000,True,yahoo
2001-07-03,4.780000,4.800000,4.660000,4.680000,70800.000000,True,yahoo
2001-07-04,4.640000,4.680000,4.400000,4.620000,35630.000000,True,yahoo
2001-07-05,4.600000,4.720000,4.600000,4.620000,96530.000000,True,yahoo
2001-07-06,4.620000,4.720000,4.600000,4.620000,25900.000000,True,yahoo
2001-07-09,4.340000,4.600000,4.340000,4.500000,39190.000000,True,yahoo
2001-07-10,4.500000,4.720000,4.300000,4.680000,98350.000000,True,yahoo
2001-07-11,4.600000,4.800000,4.580000,4.700000,95740.000000,True,yahoo
2001-07-12,4.900000,4.900000,4.700000,4.780000,61450.000000,True,yahoo
2001-07-13,4.840000,4.880000,4.740000,4.860000,56950.000000,True,yahoo
2001-07-16,4.620000,4.800000,4.620000,4.780000,26700.000000,True,yahoo
2001-07-17,4.780000,4.980000,4.680000,4.860000,46730.000000,True,yahoo
2001-07-18,4.840000,4.980000,4.840000,4.940000,81940.000000,True,yahoo
2001-07-19,4.920000,5.140000,4.920000,5.120000,138840.000000,True,yahoo
2001-07-20,5.160000,5.160000,4.940000,5.000000,43380.000000,True,yahoo
2001-07-23,5.000000,5.140000,5.000000,5.020000,56850.000000,True,yahoo
2001-07-24,5.020000,5.120000,5.000000,5.040000,33980.000000,True,yahoo
2001-07-25,5.000000,5.180000,5.000000,5.140000,57920.000000,True,yahoo
2001-07-26,5.180000,5.580000,5.120000,5.440000,187390.000000,True,yahoo
2001-07-27,5.500000,5.600000,5.480000,5.580000,186870.000000,True,yahoo
2001-07-30,5.560000,5.640000,5.440000,5.500000,139980.000000,True,yahoo
2001-07-31,5.400000,5.600000,5.340000,5.560000,107900.000000,True,yahoo
2001-08-01,5.620000,5.780000,5.560000,5.760000,265250.000000,True,yahoo
2001-08-02,5.800000,6.080000,5.720000,6.040000,827270.000000,True,yahoo
2001-08-03,6.100000,6.100000,5.900000,5.920000,289275.000000,True,yahoo
2001-08-06,5.960000,6.020000,5.880000,5.980000,100130.000000,True,yahoo
2001-08-07,5.920000,5.920000,5.600000,5.640000,261430.000000,True,yahoo
2001-08-08,5.680000,5.840000,5.580000,5.700000,195660.000000,True,yahoo
2001-08-09,5.700000,5.840000,5.640000,5.800000,117340.000000,True,yahoo
2001-08-10,5.880000,5.940000,5.760000,5.800000,104430.000000,True,yahoo
2001-08-13,5.620000,5.820000,5.620000,5.700000,46420.000000,True,yahoo
2001-08-14,5.680000,5.900000,5.680000,5.860000,50020.000000,True,yahoo
2001-08-15,5.860000,5.860000,5.860000,5.860000,0.000000,True,yahoo
2001-08-16,5.900000,5.920000,5.860000,5.880000,50920.000000,True,yahoo
2001-08-17,5.880000,5.960000,5.860000,5.880000,38060.000000,True,yahoo
2001-08-20,5.960000,6.020000,5.820000,5.880000,207330.000000,True,yahoo
2001-08-21,5.880000,5.980000,5.840000,5.860000,222370.000000,True,yahoo
2001-08-22,5.820000,5.880000,5.740000,5.780000,161170.000000,True,yahoo
2001-08-23,5.780000,5.900000,5.780000,5.880000,94100.000000,True,yahoo
2001-08-24,5.880000,5.980000,5.880000,5.940000,79300.000000,True,yahoo
2001-08-27,5.920000,6.000000,5.920000,5.980000,131610.000000,True,yahoo
2001-08-28,6.020000,6.040000,5.980000,6.000000,72260.000000,True,yahoo
2001-08-29,5.980000,6.200000,5.980000,6.040000,306490.000000,True,yahoo
2001-08-30,6.000000,6.020000,5.880000,5.920000,101650.000000,True,yahoo
2001-08-31,5.840000,5.860000,5.780000,5.820000,45810.000000,True,yahoo
2001-09-03,5.780000,5.960000,5.700000,5.780000,52190.000000,True,yahoo
2001-09-04,5.680000,5.800000,5.640000,5.740000,96000.000000,True,yahoo
2001-09-05,5.660000,5.780000,5.600000,5.600000,48890.000000,True,yahoo
2001-09-06,5.600000,5.620000,5.500000,5.560000,55720.000000,True,yahoo
2001-09-07,5.380000,5.540000,5.380000,5.460000,47930.000000,True,yahoo
2001-09-10,5.480000,5.480000,5.140000,5.340000,71980.000000,True,yahoo
2001-09-11,5.460000,5.540000,5.320000,5.480000,59010.000000,True,yahoo
2001-09-12,5.160000,5.160000,4.840000,5.100000,343350.000000,True,yahoo
2001-09-13,5.100000,5.240000,5.000000,5.180000,111010.000000,True,yahoo
2001-09-14,5.100000,5.120000,4.880000,4.900000,132790.000000,True,yahoo
2001-09-17,4.580000,5.320000,4.320000,5.140000,171430.000000,True,yahoo
2001-09-18,4.860000,5.300000,4.860000,5.260000,54430.000000,True,yahoo
2001-09-19,5.280000,5.440000,5.260000,5.320000,141930.000000,True,yahoo
2001-09-20,5.100000,5.220000,5.020000,5.100000,81730.000000,True,yahoo
2001-09-21,4.880000,5.080000,4.740000,5.060000,169490.000000,True,yahoo
