date,open,high,low,close,volume,settled,source
2000-01-03,2.759846,2.759846,2.759846,2.759846,53569.000000,True,yahoo
2000-01-04,2.982141,2.982141,2.548902,2.769131,509763.000000,True,yahoo
2000-01-05,2.565127,2.659059,2.550674,2.608481,225483.000000,True,yahoo
2000-01-06,2.607261,2.607261,2.607261,2.607261,0.000000,True,yahoo
2000-01-07,2.751677,2.820468,2.643057,2.820468,235528.000000,True,yahoo
2000-01-10,2.988516,2.988516,2.687853,2.847241,469618.000000,True,yahoo
2000-01-11,2.818626,2.818626,2.616265,2.681308,317809.000000,True,yahoo
2000-01-12,2.546219,2.813863,2.495585,2.647490,222849.000000,True,yahoo
2000-01-13,2.526543,2.735885,2.526543,2.645651,72429.000000,True,yahoo
2000-01-14,2.702227,2.738355,2.597462,2.705840,169004.000000,True,yahoo
2000-01-17,2.846731,2.882859,2.767254,2.785318,217287.000000,True,yahoo
2000-01-18,2.779153,2.790010,2.641644,2.670593,160289.000000,True,yahoo
2000-01-19,2.548184,2.602400,2.530111,2.544569,139505.000000,True,yahoo
2000-01-20,2.579573,2.601250,2.471187,2.518154,101032.000000,True,yahoo
2000-01-21,2.530159,2.634828,2.526548,2.605956,203821.000000,True,yahoo
2000-01-24,2.690137,2.791107,2.607197,2.646864,295537.000000,True,yahoo
2000-01-25,2.499163,2.625564,2.463047,2.596673,338183.000000,True,yahoo
2000-01-26,2.283230,2.351763,2.171413,2.171413,97394.000000,True,yahoo
2000-01-27,2.235493,2.246309,2.098478,2.163381,107807.000000,True,yahoo
2000-01-28,2.252148,2.274014,2.150109,2.241215,215572.000000,True,yahoo
2000-01-31,2.228259,2.275360,2.137679,2.137679,126541.000000,True,yahoo
2000-02-01,2.123221,2.187999,2.116026,2.116026,232425.000000,True,yahoo
2000-02-02,2.202199,2.241782,2.144626,2.241782,239430.000000,True,yahoo
2000-02-03,2.202036,2.283723,2.202036,2.269516,266131.000000,True,yahoo
2000-02-04,2.293436,2.430035,2.264679,2.307815,353405.000000,True,yahoo
2000-02-07,2.436133,2.436133,2.306780,2.367863,308409.000000,True,yahoo
2000-02-08,2.376412,2.405218,2.268392,2.282795,323706.000000,True,yahoo
2000-02-09,2.295620,2.371060,2.072882,2.227360,164608.000000,True,yahoo
2000-02-10,2.256947,2.264136,2.177881,2.213820,170956.000000,True,yahoo
2000-02-11,2.123895,2.281752,2.123895,2.260228,172500.000000,True,yahoo
2000-02-14,2.283764,2.492032,2.262218,2.262218,163032.000000,True,yahoo
2000-02-15,2.265939,2.265939,2.161635,2.161635,156069.000000,True,yahoo
2000-02-16,2.203564,2.217895,2.085324,2.099655,117592.000000,True,yahoo
2000-02-17,2.078092,2.142583,2.020766,2.020766,101166.000000,True,yahoo
2000-02-18,2.116824,2.152703,2.030716,2.080945,124241.000000,True,yahoo
2000-02-21,2.088121,2.138351,2.012776,2.016366,186801.000000,True,yahoo
2000-02-22,2.077533,2.077533,1.944543,1.962516,119683.000000,True,yahoo
2000-02-23,2.027877,2.027877,1.938306,1.949055,63020.000000,True,yahoo
2000-02-24,1.971278,2.007118,1.946188,1.992783,141010.000000,True,yahoo
2000-02-25,1.953833,2.032559,1.953833,1.968147,84514.000000,True,yahoo
2000-02-28,1.948388,1.977041,1.805123,1.815867,135290.000000,True,yahoo
2000-02-29,1.866639,1.866639,1.737410,1.741000,114707.000000,True,yahoo
2000-03-01,1.719810,1.755639,1.701895,1.737724,152519.000000,True,yahoo
2000-03-02,1.756419,1.906971,1.756419,1.820941,416509.000000,True,yahoo
2000-03-03,1.848188,1.966615,1.830243,1.866130,290143.000000,True,yahoo
2000-03-06,1.857509,1.936398,1.803719,1.825233,277697.000000,True,yahoo
2000-03-07,1.860512,1.889136,1.681617,1.681617,300246.000000,True,yahoo
2000-03-08,1.583760,1.712754,1.547928,1.612424,224103.000000,True,yahoo
2000-03-09,1.685543,1.710647,1.549265,1.556437,175515.000000,True,yahoo
2000-03-10,1.620772,1.638741,1.455461,1.574053,134110.000000,True,yahoo
2000-03-13,1.567623,1.567623,1.567623,1.567623,0.000000,True,yahoo
2000-03-14,1.561781,1.590439,1.407753,1.407753,140467.000000,True,yahoo
