date,open,high,low,close,volume,settled,source
2024-09-24,5.000000,5.000000,4.870000,4.920000,302319.000000,True,yahoo
2024-09-25,4.920000,4.940000,4.800000,4.820000,131283.000000,True,yahoo
2024-09-26,4.880000,4.880000,4.820000,4.830000,60157.000000,True,yahoo
2024-09-27,4.870000,4.870000,4.700000,4.700000,77653.000000,True,yahoo
2024-09-30,4.700000,4.780000,4.610000,4.640000,77662.000000,True,yahoo
2024-10-01,4.680000,4.700000,4.630000,4.630000,45151.000000,True,yahoo
2024-10-02,4.560000,4.620000,4.550000,4.590000,42033.000000,True,yahoo
2024-10-03,4.760000,4.760000,4.570000,4.590000,47174.000000,True,yahoo
2024-10-04,4.600000,4.680000,4.590000,4.600000,87800.000000,True,yahoo
2024-10-07,4.600000,4.610000,4.470000,4.510000,94196.000000,True,yahoo
2024-10-08,4.510000,4.890000,4.510000,4.850000,405218.000000,True,yahoo
2024-10-09,4.600000,4.600000,4.280000,4.340000,15842165.000000,True,yahoo
2024-10-10,4.400000,4.490000,4.290000,4.410000,445839.000000,True,yahoo
2024-10-11,4.410000,4.450000,4.360000,4.390000,326982.000000,True,yahoo
2024-10-14,4.360000,4.420000,4.350000,4.380000,105433.000000,True,yahoo
2024-10-15,4.330000,4.400000,4.250000,4.300000,209380.000000,True,yahoo
2024-10-16,4.250000,4.330000,4.250000,4.270000,96258.000000,True,yahoo
2024-10-17,4.300000,4.320000,4.280000,4.290000,108932.000000,True,yahoo
2024-10-18,4.290000,4.300000,4.180000,4.250000,246944.000000,True,yahoo
2024-10-21,4.220000,4.270000,4.220000,4.220000,224193.000000,True,yahoo
2024-10-22,4.250000,4.260000,4.220000,4.250000,394348.000000,True,yahoo
2024-10-23,4.290000,4.300000,4.200000,4.290000,220539.000000,True,yahoo
2024-10-24,4.300000,4.350000,4.290000,4.330000,188184.000000,True,yahoo
2024-10-25,4.330000,4.350000,4.290000,4.320000,275473.000000,True,yahoo
2024-10-29,4.300000,4.340000,4.290000,4.310000,152514.000000,True,yahoo
2024-10-30,4.310000,4.330000,4.180000,4.190000,189596.000000,True,yahoo
2024-10-31,4.190000,4.260000,4.190000,4.230000,232670.000000,True,yahoo
2024-11-01,4.270000,4.270000,4.150000,4.200000,384252.000000,True,yahoo
2024-11-04,4.230000,4.250000,4.220000,4.220000,86042.000000,True,yahoo
2024-11-05,4.240000,4.250000,4.220000,4.230000,124599.000000,True,yahoo
2024-11-06,4.250000,4.270000,4.220000,4.230000,146031.000000,True,yahoo
2024-11-07,4.250000,4.410000,4.230000,4.400000,573172.000000,True,yahoo
2024-11-08,4.400000,4.480000,4.310000,4.320000,451092.000000,True,yahoo
2024-11-11,4.350000,4.430000,4.340000,4.430000,246899.000000,True,yahoo
2024-11-12,4.480000,4.550000,4.470000,4.520000,1121429.000000,True,yahoo
2024-11-13,4.540000,4.560000,4.440000,4.530000,1002204.000000,True,yahoo
2024-11-14,4.560000,4.610000,4.500000,4.570000,248944.000000,True,yahoo
2024-11-22,4.400000,4.420000,4.360000,4.360000,154729.000000,True,yahoo
2024-11-25,4.400000,4.480000,4.400000,4.440000,1550087.000000,True,yahoo
2024-11-26,4.450000,4.470000,4.390000,4.390000,169824.000000,True,yahoo
2024-11-27,4.400000,4.430000,4.380000,4.380000,135697.000000,True,yahoo
2024-11-28,4.430000,4.460000,4.400000,4.400000,179969.000000,True,yahoo
2024-11-29,4.410000,4.410000,4.350000,4.400000,147833.000000,True,yahoo
2024-12-02,4.420000,4.430000,4.390000,4.400000,207289.000000,True,yahoo
2024-12-03,4.400000,4.450000,4.350000,4.350000,83511.000000,True,yahoo
2024-12-04,4.400000,4.460000,4.370000,4.410000,390888.000000,True,yahoo
2024-12-05,4.470000,4.480000,4.420000,4.440000,371114.000000,True,yahoo
2024-12-06,4.490000,4.530000,4.460000,4.510000,564419.000000,True,yahoo
2024-12-09,4.550000,4.610000,4.530000,4.540000,195165.000000,True,yahoo
2024-12-10,4.560000,4.570000,4.530000,4.530000,105511.000000,True,yahoo
2024-12-11,4.530000,4.530000,4.520000,4.520000,18048.000000,True,yahoo
2024-12-12,4.520000,4.580000,4.520000,4.560000,70617.000000,True,yahoo
2024-12-13,4.560000,4.570000,4.530000,4.540000,249019.000000,True,yahoo
2024-12-16,4.540000,4.550000,4.510000,4.540000,387578.000000,True,yahoo
2024-12-17,4.560000,4.600000,4.540000,4.550000,184829.000000,True,yahoo
2024-12-18,4.560000,4.570000,4.550000,4.550000,31084.000000,True,yahoo
2024-12-19,4.550000,4.580000,4.530000,4.540000,220945.000000,True,yahoo
2024-12-20,4.530000,4.550000,4.510000,4.540000,135441.000000,True,yahoo
2024-12-23,4.520000,4.540000,4.510000,4.520000,87476.000000,True,yahoo
2024-12-27,4.550000,4.600000,4.520000,4.570000,621195.000000,True,yahoo
2024-12-30,4.530000,4.610000,4.530000,4.610000,110018.000000,True,yahoo
2024-12-31,4.610000,4.620000,4.600000,4.600000,23381.000000,True,yahoo
2025-01-02,4.580000,4.630000,4.580000,4.590000,105043.000000,True,yahoo
2025-01-03,4.590000,4.620000,4.570000,4.580000,115551.000000,True,yahoo
2025-01-07,4.630000,4.660000,4.590000,4.630000,522550.000000,True,yahoo
2025-01-08,4.630000,4.760000,4.630000,4.750000,372767.000000,True,yahoo
2025-01-09,4.710000,4.800000,4.710000,4.750000,273493.000000,True,yahoo
2025-01-10,4.760000,4.770000,4.730000,4.770000,241965.000000,True,yahoo
2025-01-13,4.770000,4.770000,4.720000,4.760000,759123.000000,True,yahoo
2025-01-14,4.780000,4.790000,4.710000,4.780000,121718.000000,True,yahoo
2025-01-15,4.780000,4.840000,4.700000,4.800000,742235.000000,True,yahoo
2025-01-16,4.820000,4.980000,4.820000,4.970000,893614.000000,True,yahoo
2025-01-17,4.970000,5.080000,4.950000,5.080000,183943.000000,True,yahoo
2025-01-20,5.100000,5.180000,5.060000,5.080000,163103.000000,True,yahoo
2025-01-21,5.080000,5.100000,5.020000,5.080000,81734.000000,True,yahoo
2025-01-22,5.060000,5.060000,4.980000,5.040000,936099.000000,True,yahoo
2025-01-23,5.040000,5.040000,4.990000,5.000000,833205.000000,True,yahoo
2025-01-24,5.020000,5.120000,5.000000,5.020000,162791.000000,True,yahoo
2025-01-27,5.060000,5.060000,4.980000,5.040000,100916.000000,True,yahoo
2025-01-28,5.060000,5.080000,5.000000,5.040000,35829.000000,True,yahoo
2025-01-29,5.040000,5.060000,5.020000,5.060000,48356.000000,True,yahoo
2025-01-30,5.060000,5.100000,5.000000,5.060000,139459.000000,True,yahoo
2025-01-31,5.060000,5.120000,5.040000,5.080000,234106.000000,True,yahoo
2025-02-03,5.000000,5.000000,4.890000,4.910000,281677.000000,True,yahoo
2025-02-04,4.910000,4.990000,4.910000,4.990000,654727.000000,True,yahoo
2025-02-05,4.950000,4.980000,4.940000,4.960000,377961.000000,True,yahoo
2025-02-06,4.970000,4.990000,4.930000,4.970000,236478.000000,True,yahoo
2025-02-07,4.970000,5.060000,4.970000,5.000000,351375.000000,True,yahoo
2025-02-10,5.000000,5.020000,4.980000,5.000000,497885.000000,True,yahoo
2025-02-11,5.000000,5.020000,4.990000,5.000000,137467.000000,True,yahoo
2025-02-12,5.000000,5.080000,5.000000,5.020000,338963.000000,True,yahoo
2025-02-13,5.040000,5.080000,5.000000,5.040000,428387.000000,True,yahoo
2025-02-14,5.060000,5.100000,5.040000,5.080000,652892.000000,True,yahoo
2025-02-17,5.100000,5.340000,5.080000,5.340000,629016.000000,True,yahoo
2025-02-18,5.420000,5.660000,5.320000,5.580000,1150277.000000,True,yahoo
2025-02-19,5.640000,5.640000,5.420000,5.440000,952384.000000,True,yahoo
2025-02-20,5.400000,5.500000,5.360000,5.400000,577509.000000,True,yahoo
2025-02-21,5.380000,5.420000,5.320000,5.340000,353177.000000,True,yahoo
2025-02-24,5.400000,5.480000,5.380000,5.400000,955321.000000,True,yahoo
2025-02-25,5.360000,5.400000,5.300000,5.360000,588121.000000,True,yahoo
2025-02-26,5.380000,5.400000,5.360000,5.380000,550327.000000,True,yahoo
2025-02-27,5.360000,5.380000,5.340000,5.380000,865800.000000,True,yahoo
2025-02-28,5.380000,5.420000,5.320000,5.320000,740628.000000,True,yahoo
2025-03-04,5.380000,5.400000,5.300000,5.300000,382785.000000,True,yahoo
2025-03-05,5.380000,5.400000,5.340000,5.400000,651922.000000,True,yahoo
2025-03-06,5.400000,5.620000,5.400000,5.500000,1284577.000000,True,yahoo
2025-03-07,5.500000,5.520000,5.400000,5.500000,863589.000000,True,yahoo
2025-03-10,5.500000,5.520000,5.460000,5.480000,366913.000000,True,yahoo
2025-03-11,5.480000,5.480000,5.360000,5.360000,348961.000000,True,yahoo
2025-03-12,5.400000,5.520000,5.380000,5.480000,1041525.000000,True,yahoo
2025-03-13,5.500000,5.520000,5.440000,5.500000,402985.000000,True,yahoo
2025-03-14,5.480000,5.560000,5.480000,5.540000,490004.000000,True,yahoo
2025-03-17,5.560000,5.600000,5.540000,5.600000,247429.000000,True,yahoo
2025-03-18,5.640000,5.860000,5.620000,5.820000,6500800.000000,True,yahoo
2025-03-19,5.820000,5.960000,5.740000,5.960000,569929.000000,True,yahoo
2025-03-20,5.980000,6.180000,5.960000,6.080000,1964501.000000,True,yahoo
2025-03-21,6.120000,6.120000,6.000000,6.060000,1066092.000000,True,yahoo
2025-03-24,6.100000,6.140000,6.040000,6.060000,861228.000000,True,yahoo
2025-03-26,6.060000,6.160000,6.040000,6.080000,1213081.000000,True,yahoo
2025-03-27,6.080000,6.120000,6.020000,6.060000,3112470.000000,True,yahoo
2025-03-28,6.040000,6.060000,5.880000,5.880000,535587.000000,True,yahoo
2025-03-31,5.880000,5.900000,5.720000,5.820000,596651.000000,True,yahoo
2025-04-01,5.820000,5.900000,5.780000,5.800000,450087.000000,True,yahoo
2025-04-02,5.860000,5.880000,5.760000,5.820000,408322.000000,True,yahoo
2025-04-03,5.800000,5.840000,5.620000,5.680000,987504.000000,True,yahoo
2025-04-04,5.560000,5.660000,5.360000,5.440000,1144185.000000,True,yahoo
2025-04-07,5.080000,5.180000,4.900000,5.040000,1302754.000000,True,yahoo
2025-04-08,5.140000,5.360000,5.140000,5.260000,848278.000000,True,yahoo
2025-04-09,5.180000,5.220000,5.080000,5.140000,593998.000000,True,yahoo
2025-04-10,5.520000,5.760000,5.400000,5.420000,638497.000000,True,yahoo
2025-04-11,5.440000,5.440000,5.260000,5.300000,617426.000000,True,yahoo
2025-04-14,5.500000,5.500000,5.440000,5.480000,535533.000000,True,yahoo
2025-04-15,5.500000,5.600000,5.480000,5.580000,481279.000000,True,yahoo
2025-04-16,5.540000,5.540000,5.480000,5.500000,333508.000000,True,yahoo
2025-04-17,5.480000,5.500000,5.400000,5.400000,177848.000000,True,yahoo
2025-04-22,5.420000,5.520000,5.380000,5.480000,1082291.000000,True,yahoo
2025-04-23,5.580000,5.620000,5.500000,5.520000,1323885.000000,True,yahoo
2025-04-24,5.540000,5.620000,5.500000,5.580000,772977.000000,True,yahoo
2025-04-25,5.600000,5.720000,5.600000,5.600000,524599.000000,True,yahoo
2025-04-28,5.600000,5.680000,5.580000,5.600000,420366.000000,True,yahoo
2025-04-29,5.640000,5.660000,5.620000,5.640000,675414.000000,True,yahoo
2025-04-30,5.640000,5.720000,5.600000,5.700000,931343.000000,True,yahoo
2025-05-02,5.740000,5.900000,5.740000,5.880000,1791450.000000,True,yahoo
2025-05-05,5.900000,6.000000,5.900000,5.960000,676822.000000,True,yahoo
2025-05-06,5.960000,6.000000,5.900000,5.960000,460602.000000,True,yahoo
2025-05-07,5.960000,6.020000,5.940000,6.000000,1063808.000000,True,yahoo
2025-05-08,6.020000,6.060000,5.980000,5.980000,474020.000000,True,yahoo
2025-05-09,5.980000,6.020000,5.980000,6.000000,1735123.000000,True,yahoo
2025-05-12,6.140000,6.300000,6.140000,6.260000,1315009.000000,True,yahoo
2025-05-13,6.280000,6.280000,6.240000,6.240000,403697.000000,True,yahoo
2025-05-14,6.240000,6.240000,6.180000,6.220000,537235.000000,True,yahoo
2025-05-15,6.200000,6.220000,6.160000,6.200000,721753.000000,True,yahoo
2025-05-16,6.220000,6.240000,6.220000,6.220000,1277921.000000,True,yahoo
2025-05-19,6.240000,6.480000,6.220000,6.480000,4524076.000000,True,yahoo
2025-05-20,6.500000,6.680000,6.440000,6.600000,1607798.000000,True,yahoo
2025-05-21,6.620000,6.700000,6.500000,6.640000,747210.000000,True,yahoo
2025-05-22,6.620000,6.640000,6.520000,6.620000,1100272.000000,True,yahoo
2025-05-23,6.600000,6.680000,6.360000,6.500000,1411372.000000,True,yahoo
2025-05-26,6.140000,6.240000,6.100000,6.240000,904977.000000,True,yahoo
2025-05-27,6.260000,6.280000,6.160000,6.180000,419303.000000,True,yahoo
2025-05-28,6.200000,6.400000,6.180000,6.360000,2987203.000000,True,yahoo
2025-05-29,6.380000,6.400000,6.280000,6.340000,563693.000000,True,yahoo
2025-05-30,6.340000,6.340000,6.080000,6.080000,874901.000000,True,yahoo
2025-06-02,6.080000,6.160000,6.000000,6.040000,776381.000000,True,yahoo
2025-06-03,6.020000,6.100000,6.020000,6.100000,869027.000000,True,yahoo
2025-06-04,6.100000,6.120000,6.020000,6.020000,375683.000000,True,yahoo
2025-06-05,6.000000,6.080000,5.960000,6.080000,333463.000000,True,yahoo
2025-06-06,6.100000,6.140000,6.080000,6.140000,183737.000000,True,yahoo
2025-06-10,6.120000,6.160000,6.100000,6.140000,270513.000000,True,yahoo
2025-06-11,6.140000,6.260000,6.120000,6.240000,424481.000000,True,yahoo
2025-06-12,6.200000,6.280000,6.160000,6.240000,847498.000000,True,yahoo
2025-06-13,6.100000,6.240000,6.040000,6.220000,684598.000000,True,yahoo
2025-06-16,6.180000,6.360000,6.180000,6.300000,622711.000000,True,yahoo
2025-06-17,6.260000,6.280000,6.200000,6.200000,1312962.000000,True,yahoo
2025-06-18,6.180000,6.240000,6.020000,6.040000,638476.000000,True,yahoo
2025-06-19,6.000000,6.020000,5.840000,5.860000,4147901.000000,True,yahoo
2025-06-20,5.980000,6.060000,5.860000,5.980000,1073572.000000,True,yahoo
2025-06-23,6.000000,6.000000,5.880000,6.000000,259411.000000,True,yahoo
2025-06-24,6.160000,6.320000,6.140000,6.320000,1076747.000000,True,yahoo
2025-06-25,6.340000,6.380000,6.280000,6.340000,629757.000000,True,yahoo
2025-06-26,6.340000,6.420000,6.340000,6.400000,603331.000000,True,yahoo
2025-06-27,6.440000,6.460000,6.260000,6.320000,266549.000000,True,yahoo
2025-06-30,6.340000,6.360000,6.280000,6.280000,190992.000000,True,yahoo
