date,open,high,low,close,volume,settled,source
1999-11-03,2.799731,2.799731,2.799731,2.799731,179913.000000,True,yahoo
1999-11-04,5.575012,5.575012,5.575012,5.575012,25820618.000000,True,yahoo
1999-11-05,5.785297,7.646080,5.785297,7.293974,494983724.000000,True,yahoo
1999-11-08,6.792712,7.372219,6.792712,7.125256,160663999.000000,True,yahoo
1999-11-09,6.873403,7.284193,6.873403,7.205947,96703280.000000,True,yahoo
1999-11-10,7.002997,7.301309,7.002997,7.259741,46400495.000000,True,yahoo
1999-11-11,7.127701,7.545827,7.127701,7.147263,40462922.000000,True,yahoo
1999-11-12,7.002997,7.301309,7.002997,7.196166,23708627.000000,True,yahoo
1999-11-15,7.298864,7.298864,7.076353,7.179050,19348900.000000,True,yahoo
1999-11-16,6.844060,7.213283,6.844060,6.951648,21149945.000000,True,yahoo
1999-11-17,6.861177,6.944313,6.756034,6.846506,20537622.000000,True,yahoo
1999-11-18,6.694904,6.775595,6.386812,6.599542,13099350.000000,True,yahoo
1999-11-19,6.335463,6.770705,6.335463,6.582426,14378176.000000,True,yahoo
1999-11-22,6.599542,6.748698,6.423489,6.499290,14499345.000000,True,yahoo
1999-11-23,6.247436,6.423489,6.176526,6.352579,14255093.000000,True,yahoo
1999-11-24,6.176526,6.210759,5.902666,6.071383,27675843.000000,True,yahoo
1999-11-25,6.000473,6.555529,5.983357,6.504180,22518875.000000,True,yahoo
1999-11-26,6.340353,7.025004,6.340353,7.025004,19553106.000000,True,yahoo
1999-11-29,7.215728,7.215728,6.724247,7.002997,18922674.000000,True,yahoo
1999-11-30,6.792712,6.861177,6.531077,6.687569,8740801.000000,True,yahoo
1999-12-01,6.337908,7.020113,6.337908,6.721801,5973202.000000,True,yahoo
1999-12-02,6.494400,6.641110,6.450386,6.450386,5126786.000000,True,yahoo
1999-12-03,5.963795,6.423489,5.963795,6.230320,7311950.000000,True,yahoo
1999-12-06,5.895330,6.159410,5.826865,5.873324,6531639.000000,True,yahoo
1999-12-07,5.653257,5.895330,5.484540,5.707051,14414099.000000,True,yahoo
1999-12-08,5.472314,5.929563,5.318268,5.440527,8722839.000000,True,yahoo
1999-12-09,5.440527,5.665483,5.115318,5.611689,8524670.000000,True,yahoo
1999-12-10,5.631251,5.895330,5.462533,5.763291,15542752.000000,True,yahoo
1999-12-13,5.807304,6.225430,5.807304,6.225430,26775247.000000,True,yahoo
1999-12-14,5.932008,6.399038,5.932008,6.171636,19456966.000000,True,yahoo
1999-12-15,5.738839,6.064048,5.738839,5.819530,8873012.000000,True,yahoo
1999-12-16,5.658148,5.719277,5.354945,5.504101,11952588.000000,True,yahoo
