date,open,high,low,close,volume,settled,source
1996-04-19,12.530000,12.530000,12.220000,12.530000,1515533.000000,True,yahoo
1996-04-22,12.530000,13.160000,12.530000,12.530000,1096191.000000,True,yahoo
1996-04-23,12.530000,12.530000,12.090000,12.440000,677540.000000,True,yahoo
1996-04-24,12.440000,12.480000,12.190000,12.350000,402983.000000,True,yahoo
1996-04-25,12.350000,12.350000,12.050000,12.090000,223572.000000,True,yahoo
1996-04-26,12.090000,12.130000,12.030000,12.090000,198998.000000,True,yahoo
1996-04-29,12.090000,12.090000,11.960000,11.960000,149176.000000,True,yahoo
1996-04-30,11.960000,12.060000,11.900000,11.930000,240003.000000,True,yahoo
1996-05-01,11.930000,11.930000,11.930000,11.930000,0.000000,True,yahoo
1996-05-02,11.930000,12.130000,11.930000,12.130000,177608.000000,True,yahoo
1996-05-03,12.130000,12.130000,11.890000,11.960000,271603.000000,True,yahoo
1996-05-06,11.960000,11.960000,11.820000,11.960000,88924.000000,True,yahoo
1996-05-07,11.960000,12.050000,11.900000,11.960000,83821.000000,True,yahoo
1996-05-08,11.960000,11.960000,11.800000,11.900000,136338.000000,True,yahoo
1996-05-09,11.900000,11.960000,11.840000,11.960000,115552.000000,True,yahoo
1996-05-10,11.960000,11.960000,11.900000,11.930000,18362.000000,True,yahoo
1996-05-13,11.930000,11.930000,11.840000,11.840000,119196.000000,True,yahoo
1996-05-14,11.840000,11.850000,11.690000,11.740000,85486.000000,True,yahoo
1996-05-15,11.740000,11.740000,11.560000,11.640000,153308.000000,True,yahoo
1996-05-16,11.640000,11.640000,11.540000,11.630000,81605.000000,True,yahoo
1996-05-17,11.630000,11.850000,11.630000,11.680000,65977.000000,True,yahoo
1996-05-20,11.680000,11.770000,11.640000,11.690000,75995.000000,True,yahoo
1996-05-21,11.690000,11.690000,11.590000,11.590000,28291.000000,True,yahoo
1996-05-22,11.590000,11.670000,11.580000,11.670000,52361.000000,True,yahoo
1996-05-23,11.670000,11.690000,11.590000,11.690000,119936.000000,True,yahoo
1996-05-24,11.690000,11.690000,11.480000,11.480000,94223.000000,True,yahoo
1996-05-27,11.480000,11.560000,11.440000,11.560000,52056.000000,True,yahoo
1996-05-28,11.560000,11.560000,11.480000,11.560000,56107.000000,True,yahoo
1996-05-29,11.560000,11.560000,11.480000,11.560000,37718.000000,True,yahoo
1996-05-30,11.560000,11.690000,11.560000,11.690000,107357.000000,True,yahoo
1996-05-31,11.690000,11.740000,11.630000,11.740000,60424.000000,True,yahoo
