date,open,high,low,close,volume,settled,source
1995-09-25,0.330658,0.330658,0.330658,0.330658,935.000000,True,yahoo
1995-09-26,0.330658,0.355666,0.330658,0.355666,1688447.000000,True,yahoo
1995-09-27,0.355666,0.375116,0.347330,0.372337,1506221.000000,True,yahoo
1995-09-28,0.372337,0.402903,0.372337,0.402903,1210220.000000,True,yahoo
1995-09-29,0.402903,0.433468,0.394567,0.411238,1027858.000000,True,yahoo
1995-10-02,0.411238,0.411238,0.383452,0.383452,383676.000000,True,yahoo
1995-10-03,0.383452,0.383452,0.364002,0.369559,591188.000000,True,yahoo
1995-10-04,0.369559,0.386231,0.369559,0.372337,377087.000000,True,yahoo
1995-10-05,0.372337,0.383452,0.366780,0.369559,229425.000000,True,yahoo
1995-10-06,0.369559,0.386231,0.369559,0.377895,266407.000000,True,yahoo
1995-10-09,0.377895,0.377895,0.369559,0.375116,50963.000000,True,yahoo
1995-10-10,0.375116,0.377895,0.372337,0.375116,292902.000000,True,yahoo
1995-10-11,0.375116,0.377895,0.369559,0.377895,215572.000000,True,yahoo
1995-10-12,0.377895,0.380673,0.369559,0.369559,307290.000000,True,yahoo
1995-10-13,0.369559,0.375116,0.364002,0.366780,206158.000000,True,yahoo
1995-10-16,0.366780,0.369559,0.361223,0.364002,98569.000000,True,yahoo
1995-10-17,0.364002,0.369559,0.358444,0.364002,150213.000000,True,yahoo
1995-10-18,0.364002,0.366780,0.355666,0.358444,124258.000000,True,yahoo
1995-10-19,0.358444,0.358444,0.350108,0.352887,144160.000000,True,yahoo
1995-10-20,0.352887,0.377895,0.350108,0.377895,310518.000000,True,yahoo
1995-10-23,0.377895,0.389009,0.372337,0.372337,185716.000000,True,yahoo
1995-10-24,0.372337,0.372337,0.364002,0.372337,165678.000000,True,yahoo
1995-10-25,0.372337,0.372337,0.364002,0.372337,67774.000000,True,yahoo
1995-10-26,0.372337,0.372337,0.364002,0.369559,96824.000000,True,yahoo
1995-10-27,0.369559,0.369559,0.361223,0.369559,132327.000000,True,yahoo
1995-10-30,0.369559,0.369559,0.361223,0.369559,515338.000000,True,yahoo
1995-10-31,0.369559,0.377895,0.366780,0.372337,536989.000000,True,yahoo
1995-11-01,0.372337,0.375116,0.369559,0.369559,55401.000000,True,yahoo
1995-11-02,0.369559,0.369559,0.366780,0.366780,35765.000000,True,yahoo
1995-11-03,0.366780,0.366780,0.364002,0.364002,12095.000000,True,yahoo
1995-11-06,0.364002,0.364002,0.352887,0.352887,37514.000000,True,yahoo
1995-11-07,0.352887,0.358444,0.347330,0.358444,174689.000000,True,yahoo
1995-11-08,0.358444,0.361223,0.350108,0.358444,80416.000000,True,yahoo
1995-11-09,0.358444,0.358444,0.350108,0.352887,47062.000000,True,yahoo
1995-11-10,0.352887,0.358444,0.352887,0.355666,67774.000000,True,yahoo
1995-11-13,0.355666,0.355666,0.347330,0.347330,41146.000000,True,yahoo
1995-11-14,0.347330,0.352887,0.341772,0.347330,28100.000000,True,yahoo
1995-11-15,0.347330,0.366780,0.347330,0.358444,194325.000000,True,yahoo
1995-11-16,0.358444,0.380673,0.355666,0.366780,598313.000000,True,yahoo
1995-11-17,0.366780,0.366780,0.361223,0.361223,76648.000000,True,yahoo
1995-11-20,0.361223,0.361223,0.336215,0.341772,98569.000000,True,yahoo
1995-11-21,0.341772,0.344551,0.313986,0.319543,162449.000000,True,yahoo
1995-11-22,0.319543,0.330658,0.316765,0.316765,118475.000000,True,yahoo
1995-11-23,0.316765,0.338994,0.316765,0.336215,89158.000000,True,yahoo
1995-11-24,0.336215,0.344551,0.327879,0.327879,418240.000000,True,yahoo
1995-11-27,0.327879,0.344551,0.327879,0.330658,9274.000000,True,yahoo
1995-11-28,0.330658,0.330658,0.316765,0.316765,45720.000000,True,yahoo
1995-11-29,0.316765,0.330658,0.316765,0.325101,84181.000000,True,yahoo
