date,open,high,low,close,volume,settled,source
2023-10-04,2.300000,2.400666,2.293333,2.400000,7555908.000000,True,yahoo
2023-10-05,2.400000,2.400000,2.373333,2.400000,645780.000000,True,yahoo
2023-10-06,2.400000,2.400000,2.383333,2.400000,986727.000000,True,yahoo
2023-10-09,2.366666,2.390000,2.333333,2.389666,1161048.000000,True,yahoo
2023-10-10,2.386666,2.389666,2.363333,2.389000,1031541.000000,True,yahoo
2023-10-11,2.350000,2.390000,2.350000,2.389000,635247.000000,True,yahoo
2023-10-12,2.389000,2.399000,2.355000,2.388333,790065.000000,True,yahoo
2023-10-13,2.390000,2.390000,2.333333,2.333666,409635.000000,True,yahoo
2023-10-16,2.336666,2.370000,2.336666,2.366666,256512.000000,True,yahoo
2023-10-17,2.350000,2.366666,2.333333,2.333333,523563.000000,True,yahoo
2023-10-18,2.350000,2.366333,2.339666,2.350000,94386.000000,True,yahoo
2023-10-19,2.350000,2.366333,2.336666,2.365000,135807.000000,True,yahoo
2023-10-20,2.360000,2.366666,2.360000,2.366666,225021.000000,True,yahoo
2023-10-23,2.365000,2.370000,2.360000,2.366666,158499.000000,True,yahoo
2023-10-24,2.366666,2.366666,2.347333,2.363333,317019.000000,True,yahoo
2023-10-25,2.363333,2.366666,2.340333,2.359333,178254.000000,True,yahoo
2023-10-26,2.360000,2.363333,2.334000,2.350000,264792.000000,True,yahoo
2023-10-27,2.362333,2.362333,2.340666,2.352000,61938.000000,True,yahoo
2023-10-30,2.362666,2.362666,2.333333,2.343000,163752.000000,True,yahoo
2023-10-31,2.343333,2.366666,2.333666,2.366666,239364.000000,True,yahoo
2023-11-01,2.366666,2.366666,2.343000,2.366000,61038.000000,True,yahoo
2023-11-02,2.343000,2.393333,2.343000,2.393333,345663.000000,True,yahoo
2023-11-03,2.396666,2.396666,2.343333,2.366666,378090.000000,True,yahoo
2023-11-06,2.366666,2.373333,2.350000,2.356666,32850.000000,True,yahoo
2023-11-07,2.366666,2.366666,2.343333,2.364666,94080.000000,True,yahoo
2023-11-08,2.350000,2.366333,2.333333,2.343333,325650.000000,True,yahoo
2023-11-09,2.350000,2.363333,2.333666,2.363333,120981.000000,True,yahoo
2023-11-10,2.334000,2.366666,2.334000,2.360000,70050.000000,True,yahoo
2023-11-13,2.350000,2.366333,2.350000,2.362333,43950.000000,True,yahoo
2023-11-14,2.366333,2.366666,2.343333,2.366333,288336.000000,True,yahoo
2023-11-15,2.356666,2.396666,2.350000,2.381333,307338.000000,True,yahoo
2023-11-16,2.381333,2.386666,2.353333,2.383333,301275.000000,True,yahoo
2023-11-17,2.383333,2.396666,2.377000,2.396666,48075.000000,True,yahoo
2023-11-20,2.396666,2.396666,2.380000,2.386666,65928.000000,True,yahoo
2023-11-21,2.383333,2.390000,2.383333,2.386666,25974.000000,True,yahoo
2023-11-22,2.383333,2.390000,2.380000,2.386666,134562.000000,True,yahoo
2023-11-23,2.386666,2.400000,2.383333,2.396666,51750.000000,True,yahoo
2023-11-24,2.396666,2.500000,2.386666,2.456666,308286.000000,True,yahoo
2023-11-27,2.470000,2.626666,2.456666,2.620000,791787.000000,True,yahoo
2023-11-28,2.620000,2.653333,2.576666,2.600000,628116.000000,True,yahoo
2023-11-29,2.593333,2.633333,2.570000,2.603333,302499.000000,True,yahoo
2023-11-30,2.603333,2.633333,2.586666,2.616666,748671.000000,True,yahoo
2023-12-01,2.616666,2.620000,2.573333,2.600000,152283.000000,True,yahoo
2023-12-04,2.600000,2.606666,2.553333,2.606666,135876.000000,True,yahoo
2023-12-05,2.560000,2.596666,2.553333,2.553333,74652.000000,True,yahoo
2023-12-06,2.556666,2.590000,2.553333,2.583333,107856.000000,True,yahoo
2023-12-07,2.583333,2.583333,2.533333,2.566666,77151.000000,True,yahoo
2023-12-08,2.550000,2.576666,2.550000,2.566666,118605.000000,True,yahoo
2023-12-11,2.566666,2.590000,2.553333,2.573333,49947.000000,True,yahoo
2023-12-12,2.566666,2.580000,2.546666,2.566666,147108.000000,True,yahoo
2023-12-13,2.543333,2.606666,2.543333,2.586666,342141.000000,True,yahoo
2023-12-14,2.573333,2.600000,2.546666,2.573333,159129.000000,True,yahoo
2023-12-15,2.570000,2.616666,2.543333,2.616666,151011.000000,True,yahoo
2023-12-18,2.616666,2.616666,2.553333,2.576666,258384.000000,True,yahoo
2023-12-19,2.576666,2.606666,2.560000,2.583333,121149.000000,True,yahoo
2023-12-20,2.583333,2.596666,2.513333,2.546666,209484.000000,True,yahoo
2023-12-21,2.530000,2.633333,2.526666,2.596666,434235.000000,True,yahoo
2023-12-22,2.596666,2.596666,2.566666,2.566666,64182.000000,True,yahoo
2023-12-27,2.566666,2.610000,2.566666,2.606666,98697.000000,True,yahoo
2023-12-28,2.576666,2.610000,2.566666,2.566666,55062.000000,True,yahoo
2023-12-29,2.566666,2.600000,2.566666,2.600000,93087.000000,True,yahoo
2024-01-02,2.606666,2.606666,2.566666,2.570000,49350.000000,True,yahoo
2024-01-03,2.600000,2.600000,2.550000,2.566666,81609.000000,True,yahoo
2024-01-04,2.570000,2.590000,2.560000,2.570000,56694.000000,True,yahoo
2024-01-05,2.556666,2.583333,2.536666,2.583333,86808.000000,True,yahoo
2024-01-08,2.583333,2.583333,2.536666,2.576666,136977.000000,True,yahoo
2024-01-09,2.576666,2.576666,2.520000,2.543333,286845.000000,True,yahoo
2024-01-10,2.543333,2.543333,2.503333,2.503333,193443.000000,True,yahoo
