date,open,high,low,close,volume,settled,source
2000-01-03,13.351570,13.351570,13.351570,13.351570,27000.000000,True,yahoo
2000-01-04,14.010760,14.010760,12.304710,12.636860,74100.000000,True,yahoo
2000-01-05,11.693830,12.071540,11.648500,11.844910,68600.000000,True,yahoo
2000-01-06,11.839380,11.839380,11.839380,11.839380,0.000000,True,yahoo
2000-01-07,12.309480,12.688000,11.961240,12.158070,70400.000000,True,yahoo
2000-01-10,12.876150,12.876150,11.815760,12.058130,46700.000000,True,yahoo
2000-01-11,11.847440,11.938110,11.076750,11.076750,84000.000000,True,yahoo
2000-01-12,10.617590,11.706570,10.254590,10.889830,113700.000000,True,yahoo
2000-01-13,11.018360,11.591920,10.324050,10.776860,261100.000000,True,yahoo
2000-01-14,11.028300,11.481520,10.741260,11.239800,122800.000000,True,yahoo
2000-01-17,12.055600,12.055600,11.541950,11.813880,105700.000000,True,yahoo
2000-01-18,11.803510,11.985110,11.198200,11.394930,127300.000000,True,yahoo
2000-01-19,10.580470,11.336220,10.580470,10.913000,93800.000000,True,yahoo
2000-01-20,11.165020,11.331210,10.560690,11.119690,122500.000000,True,yahoo
2000-01-21,11.229700,11.622130,10.988200,11.410820,75700.000000,True,yahoo
2000-01-24,11.400470,11.611590,10.887750,10.887750,57200.000000,True,yahoo
2000-01-25,10.753100,10.964540,10.511460,10.813510,59300.000000,True,yahoo
2000-01-26,11.011190,11.071530,10.407840,10.407840,41100.000000,True,yahoo
2000-01-27,10.192800,10.584830,9.966630,10.313430,62900.000000,True,yahoo
2000-01-28,10.743930,10.911560,10.515330,10.850610,69700.000000,True,yahoo
2000-01-31,10.848490,10.909090,10.333330,10.333330,53900.000000,True,yahoo
2000-02-01,10.684820,10.985800,10.413940,10.684820,63900.000000,True,yahoo
2000-02-02,10.834360,11.601790,10.804260,11.601790,173400.000000,True,yahoo
2000-02-03,11.881960,12.149300,10.619500,11.777990,151900.000000,True,yahoo
2000-02-04,12.026010,12.597240,11.725360,12.176330,158300.000000,True,yahoo
2000-02-07,12.170870,12.756880,11.960510,12.321130,232500.000000,True,yahoo
2000-02-08,12.452280,12.497450,11.834930,12.346880,134300.000000,True,yahoo
2000-02-09,12.033640,12.078700,10.891870,11.838330,118200.000000,True,yahoo
2000-02-10,11.286710,11.692490,10.971100,11.391910,71000.000000,True,yahoo
2000-02-11,11.237220,11.552280,10.952160,11.072190,79400.000000,True,yahoo
2000-02-14,11.096960,12.012950,10.000780,10.030810,36700.000000,True,yahoo
2000-02-15,10.979840,11.521310,10.844470,11.160330,99000.000000,True,yahoo
2000-02-16,11.102840,11.387530,10.068970,10.488510,91400.000000,True,yahoo
2000-02-17,10.098620,10.323370,9.679090,9.888860,156000.000000,True,yahoo
2000-02-18,9.797410,10.352550,9.797410,9.932450,68700.000000,True,yahoo
2000-02-21,10.052480,10.262530,9.467330,9.527350,54100.000000,True,yahoo
2000-02-22,9.740040,9.860290,9.078680,9.168860,123200.000000,True,yahoo
2000-02-23,8.989630,9.409150,8.914720,9.109490,82300.000000,True,yahoo
2000-02-24,9.292710,9.397630,8.932990,9.322680,113100.000000,True,yahoo
2000-02-25,9.068440,9.427590,9.008590,9.203120,88600.000000,True,yahoo
2000-02-28,9.076420,9.076420,8.177760,8.177760,147300.000000,True,yahoo
2000-02-29,8.946820,9.006870,7.926050,7.986090,233300.000000,True,yahoo
2000-03-01,8.210800,8.510460,7.851200,8.090930,143700.000000,True,yahoo
2000-03-02,8.244420,8.634160,8.154480,8.514240,197300.000000,True,yahoo
2000-03-03,8.659240,9.259540,8.224030,8.959390,212300.000000,True,yahoo
2000-03-06,9.102380,9.537260,8.907440,9.132370,116200.000000,True,yahoo
2000-03-07,8.917460,8.977310,8.229200,8.378820,133400.000000,True,yahoo
2000-03-08,7.671890,8.091450,7.492080,7.851700,124100.000000,True,yahoo
2000-03-09,8.098430,8.353380,7.018640,7.528540,246400.000000,True,yahoo
2000-03-10,7.333830,7.724560,6.762750,6.973150,112000.000000,True,yahoo
2000-03-13,6.944660,6.944660,6.944660,6.944660,0.000000,True,yahoo
2000-03-14,7.025420,7.190190,6.201540,6.531090,157400.000000,True,yahoo
2000-03-15,6.338280,6.969100,5.767530,6.969100,177900.000000,True,yahoo
2000-03-16,7.165200,7.360070,6.910370,7.360070,237100.000000,True,yahoo
2000-03-17,8.029470,8.089390,7.789780,8.089390,210100.000000,True,yahoo
2000-03-20,8.492060,8.492060,8.073440,8.193040,163700.000000,True,yahoo
2000-03-21,8.394740,8.439710,7.675190,7.675190,104500.000000,True,yahoo
2000-03-22,7.138630,8.038460,7.138630,7.558550,106500.000000,True,yahoo
2000-03-23,7.484000,7.484000,6.915210,7.169670,64500.000000,True,yahoo
2000-03-24,7.336830,7.336830,6.707960,6.767850,82100.000000,True,yahoo
2000-03-27,7.021910,7.021910,6.454180,6.513940,36600.000000,True,yahoo
2000-03-28,6.434910,6.584560,6.000930,6.464840,114200.000000,True,yahoo
2000-03-29,6.285050,7.003340,6.285050,7.003340,99700.000000,True,yahoo
2000-03-30,7.143560,7.472350,6.725110,6.844670,123500.000000,True,yahoo
2000-03-31,6.724930,6.874370,6.515710,6.844480,61300.000000,True,yahoo
2000-04-03,6.938360,6.938360,6.551240,6.789470,33500.000000,True,yahoo
2000-04-04,6.607940,6.833210,6.487790,6.607940,42800.000000,True,yahoo
2000-04-05,6.574360,6.932970,6.484710,6.574360,60200.000000,True,yahoo
2000-04-06,6.712960,6.802460,6.563780,6.683120,42100.000000,True,yahoo
2000-04-07,6.886850,7.425830,6.707200,7.336000,113500.000000,True,yahoo
2000-04-10,7.712040,7.831610,6.710670,6.994640,82000.000000,True,yahoo
