date,open,high,low,close,volume,settled,source
2003-10-29,1.820000,2.010000,1.730000,1.760000,1929640.000000,True,yahoo
2003-10-30,1.720000,1.780000,1.710000,1.740000,257800.000000,True,yahoo
2003-10-31,1.730000,1.850000,1.720000,1.800000,653200.000000,True,yahoo
2003-11-03,1.800000,1.870000,1.800000,1.840000,478600.000000,True,yahoo
2003-11-04,1.840000,1.940000,1.820000,1.870000,693400.000000,True,yahoo
2003-11-05,1.850000,1.910000,1.850000,1.860000,261800.000000,True,yahoo
2003-11-06,1.860000,1.960000,1.860000,1.950000,504400.000000,True,yahoo
2003-11-07,1.970000,2.020000,1.950000,1.960000,326400.000000,True,yahoo
2003-11-10,1.910000,2.040000,1.910000,2.010000,473800.000000,True,yahoo
2003-11-11,1.990000,2.030000,1.940000,1.950000,246200.000000,True,yahoo
2003-11-12,1.910000,1.930000,1.870000,1.920000,215400.000000,True,yahoo
2003-11-13,1.920000,1.970000,1.880000,1.900000,101400.000000,True,yahoo
2003-11-14,1.900000,1.930000,1.880000,1.890000,119200.000000,True,yahoo
2003-11-17,1.860000,1.860000,1.790000,1.800000,176400.000000,True,yahoo
2003-11-18,1.820000,1.850000,1.770000,1.830000,144400.000000,True,yahoo
2003-11-19,1.800000,1.880000,1.780000,1.870000,137600.000000,True,yahoo
2003-11-20,1.890000,1.900000,1.810000,1.810000,111600.000000,True,yahoo
2003-11-21,1.800000,1.840000,1.800000,1.840000,32520.000000,True,yahoo
2003-11-24,1.860000,1.880000,1.840000,1.850000,36800.000000,True,yahoo
2003-11-25,1.820000,1.860000,1.820000,1.830000,69800.000000,True,yahoo
2003-11-26,1.830000,1.840000,1.800000,1.820000,147600.000000,True,yahoo
2003-11-27,1.840000,1.870000,1.810000,1.870000,56000.000000,True,yahoo
2003-11-28,1.860000,1.870000,1.820000,1.840000,70400.000000,True,yahoo
2003-12-01,1.880000,1.880000,1.810000,1.810000,39200.000000,True,yahoo
2003-12-02,1.820000,1.840000,1.790000,1.800000,42800.000000,True,yahoo
2003-12-03,1.790000,1.830000,1.790000,1.830000,31400.000000,True,yahoo
2003-12-04,1.800000,1.840000,1.800000,1.820000,36600.000000,True,yahoo
2003-12-05,1.810000,1.820000,1.780000,1.820000,41200.000000,True,yahoo
2003-12-08,1.790000,1.790000,1.760000,1.780000,15520.000000,True,yahoo
2003-12-09,1.770000,1.790000,1.740000,1.750000,40200.000000,True,yahoo
2003-12-10,1.710000,1.760000,1.710000,1.740000,30020.000000,True,yahoo
2003-12-11,1.750000,1.750000,1.670000,1.700000,36600.000000,True,yahoo
2003-12-12,1.720000,1.750000,1.690000,1.710000,44400.000000,True,yahoo
2003-12-15,1.730000,1.750000,1.640000,1.660000,77000.000000,True,yahoo
2003-12-16,1.670000,1.670000,1.550000,1.570000,154400.000000,True,yahoo
2003-12-17,1.570000,1.640000,1.550000,1.620000,91600.000000,True,yahoo
2003-12-18,1.590000,1.720000,1.590000,1.720000,99400.000000,True,yahoo
2003-12-19,1.730000,1.750000,1.700000,1.710000,101600.000000,True,yahoo
