date,open,high,low,close,volume,settled,source
2019-07-23,19.344000,19.639999,19.190001,19.330000,93040.000000,True,yahoo
2019-07-24,19.379999,19.400000,19.209999,19.299999,162917.000000,True,yahoo
2019-07-25,19.180000,20.000000,19.180000,19.900000,128225.000000,True,yahoo
2019-07-26,19.900000,19.959999,19.740000,19.860001,31021.000000,True,yahoo
2019-07-29,19.900000,19.940001,19.600000,19.860001,25700.000000,True,yahoo
2019-07-30,19.879999,19.879999,19.639999,19.719999,38390.000000,True,yahoo
2019-07-31,19.520000,19.879999,19.520000,19.620001,27464.000000,True,yahoo
2019-08-01,19.600000,19.700001,19.040001,19.459999,138760.000000,True,yahoo
2019-08-02,19.459999,19.459999,19.120001,19.420000,24654.000000,True,yahoo
2019-08-05,19.100000,19.280001,18.620001,18.980000,13726.000000,True,yahoo
2019-08-06,18.980000,19.299999,18.680000,18.900000,36860.000000,True,yahoo
2019-08-07,19.219999,19.260000,18.700001,18.700001,39038.000000,True,yahoo
2019-08-08,19.180000,19.559999,18.719999,19.420000,58749.000000,True,yahoo
2019-08-09,19.400000,19.639999,19.379999,19.540001,45517.000000,True,yahoo
2019-08-12,19.540001,19.760000,19.260000,19.740000,58993.000000,True,yahoo
2019-08-13,19.620001,19.760000,19.120001,19.400000,34797.000000,True,yahoo
2019-08-14,19.540001,19.540001,19.059999,19.059999,22153.000000,True,yahoo
2019-08-16,19.379999,19.379999,18.620001,19.020000,77150.000000,True,yahoo
2019-08-19,18.740000,19.500000,18.680000,19.500000,19472.000000,True,yahoo
2019-08-20,19.139999,19.440001,19.000000,19.000000,9312.000000,True,yahoo
2019-08-21,19.420000,19.440001,18.840000,18.900000,15403.000000,True,yahoo
2019-08-22,18.900000,19.480000,18.799999,19.280001,36540.000000,True,yahoo
2019-08-23,19.400000,19.440001,18.820000,19.000000,25279.000000,True,yahoo
2019-08-26,19.000000,19.000000,18.559999,18.680000,23503.000000,True,yahoo
2019-08-27,18.600000,18.660000,18.200001,18.200001,161088.000000,True,yahoo
2019-08-28,18.100000,18.440001,17.860001,18.080000,54331.000000,True,yahoo
2019-08-29,18.080000,18.459999,18.080000,18.320000,47333.000000,True,yahoo
2019-08-30,18.480000,18.660000,18.200001,18.600000,33481.000000,True,yahoo
2019-09-02,18.240000,18.500000,18.219999,18.400000,13241.000000,True,yahoo
2019-09-03,18.400000,18.660000,18.219999,18.500000,19961.000000,True,yahoo
2019-09-04,18.760000,18.760000,18.020000,18.379999,27651.000000,True,yahoo
2019-09-05,18.379999,18.440001,18.120001,18.420000,14628.000000,True,yahoo
2019-09-06,18.500000,18.540001,18.219999,18.480000,7361.000000,True,yahoo
2019-09-09,18.240000,18.480000,18.139999,18.440001,6850.000000,True,yahoo
2019-09-10,18.260000,18.379999,18.040001,18.200001,31112.000000,True,yahoo
2019-09-11,18.000000,18.299999,18.000000,18.200001,21736.000000,True,yahoo
2019-09-12,18.100000,18.260000,17.959999,18.180000,15550.000000,True,yahoo
2019-09-13,18.160000,18.379999,18.000000,18.379999,76987.000000,True,yahoo
2019-09-16,18.480000,19.000000,18.080000,19.000000,54363.000000,True,yahoo
2019-09-17,19.080000,19.080000,18.520000,19.020000,94674.000000,True,yahoo
2019-09-18,19.160000,19.160000,18.700001,19.139999,24352.000000,True,yahoo
2019-09-19,19.139999,19.139999,18.879999,19.100000,7890.000000,True,yahoo
2019-09-20,18.660000,19.160000,18.660000,19.160000,65948.000000,True,yahoo
2019-09-23,19.160000,19.160000,18.760000,18.760000,3468.000000,True,yahoo
2019-09-24,18.959999,18.959999,18.700001,18.799999,6891.000000,True,yahoo
2019-09-25,18.719999,19.000000,18.440001,19.000000,20008.000000,True,yahoo
2019-09-26,18.840000,19.080000,18.719999,19.080000,26400.000000,True,yahoo
2019-09-27,19.139999,19.139999,18.780001,18.799999,31036.000000,True,yahoo
2019-09-30,18.799999,19.100000,18.799999,19.100000,50554.000000,True,yahoo
2019-10-01,19.080000,19.160000,18.700001,18.740000,42001.000000,True,yahoo
2019-10-02,18.879999,18.879999,18.420000,18.559999,37354.000000,True,yahoo
2019-10-03,18.420000,18.780001,18.280001,18.280001,28451.000000,True,yahoo
