date,open,high,low,close,volume,settled,source
2023-11-10,1.928000,1.928000,1.757600,1.840000,574168,True,yahoo
2023-11-13,1.810000,1.850000,1.748000,1.748000,449532,True,yahoo
2023-11-14,1.770000,1.775000,1.734000,1.736400,513680,True,yahoo
2023-11-15,1.736400,1.794000,1.736400,1.750000,455338,True,yahoo
2023-11-16,1.750000,1.794000,1.750000,1.789800,170758,True,yahoo
2023-11-17,1.790000,1.839200,1.780000,1.814800,207059,True,yahoo
2023-11-20,1.830000,1.830000,1.799000,1.812800,91119,True,yahoo
2023-11-21,1.827000,1.827000,1.795000,1.800000,57915,True,yahoo
2023-11-22,1.800000,1.810000,1.784600,1.796400,76148,True,yahoo
2023-11-23,1.794000,1.802000,1.779800,1.780000,114516,True,yahoo
2023-11-24,1.771600,1.792200,1.750400,1.779600,107947,True,yahoo
2023-11-27,1.779600,1.780000,1.745000,1.769800,157364,True,yahoo
2023-11-28,1.769800,1.781800,1.769000,1.770000,98919,True,yahoo
2023-11-29,1.769000,1.779600,1.769000,1.776000,164813,True,yahoo
2023-11-30,1.779200,1.800000,1.761000,1.777000,163510,True,yahoo
2023-12-01,1.779600,1.790000,1.777000,1.784800,109771,True,yahoo
2023-12-04,1.784800,1.795000,1.770000,1.774000,118959,True,yahoo
2023-12-05,1.775000,1.780000,1.750000,1.778000,98777,True,yahoo
2023-12-06,1.789600,1.789600,1.760000,1.784000,92129,True,yahoo
2023-12-07,1.790000,1.805400,1.786000,1.791200,136226,True,yahoo
2023-12-08,1.790200,1.810000,1.790200,1.800400,97695,True,yahoo
2023-12-11,1.800000,1.800000,1.790000,1.790000,33400,True,yahoo
2023-12-12,1.799400,1.799400,1.758400,1.779600,58893,True,yahoo
2023-12-13,1.785000,1.794400,1.768000,1.770000,321250,True,yahoo
2023-12-14,1.770000,1.789800,1.770000,1.775800,31379,True,yahoo
2023-12-15,1.779800,1.779800,1.760000,1.777800,26209,True,yahoo
2023-12-18,1.780000,1.790800,1.763600,1.778200,36231,True,yahoo
2023-12-19,1.776800,1.780000,1.761000,1.761000,35540,True,yahoo
2023-12-20,1.770000,1.779200,1.758200,1.779200,69211,True,yahoo
2023-12-21,1.778800,1.785000,1.760000,1.778800,46178,True,yahoo
2023-12-22,1.787000,1.787000,1.760200,1.769600,41354,True,yahoo
2023-12-27,1.782000,1.782000,1.752000,1.770000,46222,True,yahoo
2023-12-28,1.770000,1.776000,1.762000,1.772000,26411,True,yahoo
2023-12-29,1.756000,1.782000,1.756000,1.760000,58173,True,yahoo
2024-01-02,1.780000,1.780000,1.718000,1.774000,72686,True,yahoo
2024-01-03,1.764000,1.788000,1.762000,1.770000,57986,True,yahoo
2024-01-04,1.770000,1.772000,1.762000,1.770000,31076,True,yahoo
2024-01-05,1.760000,1.770000,1.740000,1.756000,69693,True,yahoo
2024-01-08,1.754000,1.768000,1.738000,1.744000,101230,True,yahoo
2024-01-09,1.730000,1.740000,1.702000,1.720000,199262,True,yahoo
2024-01-10,1.720000,1.726000,1.704000,1.720000,126438,True,yahoo
2024-01-11,1.712000,1.740000,1.710000,1.740000,78647,True,yahoo
2024-01-12,1.740000,1.750000,1.726000,1.742000,47549,True,yahoo
2024-01-15,1.752000,1.752000,1.734000,1.742000,24100,True,yahoo
2024-01-16,1.742000,1.742000,1.704000,1.728000,71760,True,yahoo
2024-01-17,1.728000,1.730000,1.698000,1.700000,93713,True,yahoo
2024-01-18,1.710000,1.720000,1.700000,1.714000,47428,True,yahoo
2024-01-19,1.726000,1.726000,1.710000,1.720000,54519,True,yahoo
2024-01-22,1.728000,1.734000,1.720000,1.728000,27321,True,yahoo
2024-01-23,1.728000,1.728000,1.690000,1.710000,83119,True,yahoo
2024-01-24,1.724000,1.724000,1.704000,1.704000,44814,True,yahoo
2024-01-25,1.702000,1.710000,1.692000,1.694000,51072,True,yahoo
2024-01-26,1.680000,1.720000,1.670000,1.678000,89988,True,yahoo
2024-01-29,1.678000,1.692000,1.634000,1.668000,119339,True,yahoo
